feature,importance
has_luxury_keyword,0.1775172601808764
Final Price,0.1309554019888094
Area_m2,0.12022722772799162
price_per_m2,0.1094229610447278
num_facilities,0.08641945187538003
has_kitchen,0.06612256802822862
m2_per_person,0.0655017805467867
has_balcony,0.031639478203514974
has_fridge,0.02765268115743857
Max People,0.02659437420172722
is_sofa,0.026080507403836935
has_pool,0.025796632380639978
is_double,0.02336286069645583
has_wifi,0.02327618491443401
is_single,0.02180309866210386
has_tv,0.01520880207413293
is_king,0.010133195499616518
has_ac,0.006162891825773073
is_queen,0.004902152247946187
is_bunk,0.0012204893395793746
has_breakfast,0.0
has_parking,0.0
