Scenario,Hotel Name,Stars_Clean,District,Address,Room_Class,Room Type,Bed_Class,Bed Type,Final Price,Original Price,Discount %,Rating_Clean,Review Count,Location_Clean,Distance_KM,Free_Cancel_Bool,Breakfast_Bool,Badge_Clean,Adults,Children,Total_Guests,Check-in
Random_1A_2C_1R_Ages(1_2),Indochine Ben Thanh Hotel & Apartments,3.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Apartment/Studio,Căn Hộ Có Vòi Sen,Double/Large,1 giường đôi lớn,783000,1450000,46.0,8.0,1.568,9.3,0.3,0,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),EEA Central Saigon Hotel,2.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Standard/Superior,Phòng Tiêu Chuẩn Giường Đôi,Double/Large,Phòng Tiêu Chuẩn Giường Đôi,910749,1301070,30.0,8.2,928.0,,0.8,1,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Ruby Star Hotel- Near Bến Thành Market,3.0,Quận 3,"Quận 3, TP. Hồ Chí Minh",Standard/Superior,Phòng 3 Người Nhìn Ra Thành Phố,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",1050000,2100000,50.0,6.9,307.0,,1.0,1,1,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),The One Premium Hotel Spa,3.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Family/Large,Phòng Gia Đình Có Bồn Tắm,Double/Large,2 giường đôi lớn,1684800,2340000,28.0,7.3,29.0,,0.25,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Vilion Boutique Hotel Ben Thanh,3.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Standard/Superior,Phòng Superior Giường Đôi,Double/Large,Phòng Superior Giường Đôi,780000,1200000,35.0,7.2,994.0,,0.4,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),INDO Serviced Apartment,4.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,"2 giường (1 giường sofa, 1 giường đôi lớn)",1236750,1236750,0.0,8.5,653.0,,0.7,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),An Thinh Central Hotel - Ben Thanh Market,3.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Family/Large,Phòng Gia Đình,Double/Large,2 giường đôi,1320000,3000000,56.0,7.6,128.0,,0.8,1,0,Ưu Đãi Trong Thời Gian Có Hạn,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Oscar Saigon Hotel,4.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Nguyen Hue Walking Street)",Standard/Superior,Phòng Oscar Elegant 2 Giường Đơn,Single/Twin,Phòng Oscar Elegant 2 Giường Đơn,1320000,4400000,70.0,7.6,1.112,9.4,0.4,0,1,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Bến Thành Market - KAS HOTEL,2.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Family/Large,Phòng Deluxe Gia đình,Double/Large,2 giường đôi,2299500,3150000,27.0,8.5,379.0,,0.6,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Adora Hotel,4.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Family/Large,Phòng Gia Đình,Double/Large,2 giường đôi lớn,3041026,9503205,68.0,7.9,920.0,9.3,0.35,0,1,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Adventure Hotel,3.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Standard/Superior,Phòng Có Giường Cỡ King Với Ban Công,Double/Large,Phòng Có Giường Cỡ King Với Ban Công,1584000,3599999,56.0,8.7,384.0,,0.5,0,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Vilion Central Hotel & Spa,3.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Standard/Superior,Phòng Superior Giường Đôi,Double/Large,Phòng Superior Giường Đôi,990000,1320000,25.0,7.1,393.0,,0.7,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Cochin Zen Hotel,4.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Deluxe,"Phòng Deluxe Giường Đôi, Không Có Cửa Sổ",Double/Large,"Phòng Deluxe Giường Đôi, Không Có Cửa Sổ",2820683,4209975,33.0,7.9,1.625,9.3,0.35,0,1,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Nicecy Boutique Hotel,3.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Le Thanh Ton)",Standard/Superior,Phòng 3 Người Có Bồn Tắm,Double/Large,"2 giường (1 giường đơn, 1 giường đôi)",2097600,4195200,50.0,7.6,2.156,,0.6,0,1,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
