hotel_id,city,hotel_name,hotel_link
IVU_000001,binh-duong,Khách sạn Lavender Bình Dương,https://www.ivivu.com/khach-san-binh-duong/khach-san-lavender-binh-duong
IVU_000002,binh-duong,Khách sạn Marina Bình Dương,https://www.ivivu.com/khach-san-binh-duong/khach-san-marina-binh-duong
IVU_000003,binh-duong,Fairfield by Marriott South Bình Dương,https://www.ivivu.com/khach-san-binh-duong/fairfield-by-marriott-south-binh-duong
IVU_000004,binh-duong,Khách sạn Becamex Thủ Dầu Một,https://www.ivivu.com/khach-san-binh-duong/khach-san-becamex-binh-duong
IVU_000005,binh-duong,Khách sạn Hoàng Yến 2,https://www.ivivu.com/khach-san-binh-duong/hoang-yen-2-hotel
IVU_000006,binh-duong,HANZ Anh Duc Hotel Binh Duong,https://www.ivivu.com/khach-san-binh-duong/hanz-anh-duc-hotel-binh-duong
IVU_000007,binh-duong,HOTEL HOÀNG MINH CHÂU MỸ PHƯỚC 3,https://www.ivivu.com/khach-san-binh-duong/hotel-hoang-minh-chau-m%E1%BB%B9-phuoc-3
IVU_000008,binh-duong,Mia Hotel (Feliz Hotel Binh Duong),https://www.ivivu.com/khach-san-binh-duong/feliz-hotel-binh-duong
IVU_000009,binh-duong,Khách sạn Citadines Central Bình Dương,https://www.ivivu.com/khach-san-binh-duong/khach-san-citadines-central-binh-duong
IVU_000010,binh-duong,Dori House Honas,https://www.ivivu.com/khach-san-binh-duong/dori-house-honas
IVU_000011,binh-duong,COMMON INN Thu Dau Mot,https://www.ivivu.com/khach-san-binh-duong/common-inn-thu-dau-mot
IVU_000012,binh-duong,Khách sạn Căn hộ dịch vụ Ruby Thủ Dầu Một,https://www.ivivu.com/khach-san-binh-duong/khach-san-can-ho-dich-vu-ruby-thu-dau-mot
IVU_000013,binh-duong,Khách sạn The Mira Bình Dương,https://www.ivivu.com/khach-san-binh-duong/the-mira-hotel-binh-duong
IVU_000014,binh-duong,Khách sạn New,https://www.ivivu.com/khach-san-binh-duong/new-hotel-apartment
IVU_000015,binh-duong,Khách sạn Bcons Bình Dương,https://www.ivivu.com/khach-san-binh-duong/bcons-hotel-binh-duong
IVU_000016,binh-duong,Khách sạn Becamex New City,https://www.ivivu.com/khach-san-binh-duong/becamex-hotel-new-city
IVU_000017,binh-duong,Khách sạn Hoàng Hùng,https://www.ivivu.com/khach-san-binh-duong/khach-san-hoang-hung
IVU_000018,binh-duong,Khách sạn Hoàng Anh,https://www.ivivu.com/khach-san-binh-duong/khach-san-hoang-anh
IVU_000019,binh-duong,Khu Nghỉ Dưỡng Phương Nam Bình Dương,https://www.ivivu.com/khach-san-binh-duong/phuong-nam-resort
IVU_000020,binh-duong,Spring Hotel,https://www.ivivu.com/khach-san-binh-duong/spring-hotel-6592834
IVU_000021,binh-duong,Hoa Cúc Phương Hotel,https://www.ivivu.com/khach-san-binh-duong/hoa-cuc-phuong-hotel
IVU_000022,binh-duong,KEN HOTEL,https://www.ivivu.com/khach-san-binh-duong/ken-hotel
IVU_000023,binh-duong,Bcons Garden Luxury Apartment,https://www.ivivu.com/khach-san-binh-duong/bcons-garden-luxury-apartment
IVU_000024,binh-duong,Nhà Nghỉ Phương Nam 10 ( Ken2 hotel),https://www.ivivu.com/khach-san-binh-duong/nha-nghi-phuong-nam-10-ken2-hotel
IVU_000025,binh-duong,Khách sạn HANZ Premium Diamond Bình Dương,https://www.ivivu.com/khach-san-binh-duong/hanz-premium-diamond-hotel-binh-duong
IVU_000026,binh-duong,Lovely 2 bedrooms aparment Thủ Dầu Một,https://www.ivivu.com/khach-san-binh-duong/lovely-2-bedrooms-aparment-thu-dau-mot
IVU_000027,binh-duong,KHÁCH SẠN HỘI NGHĨA,https://www.ivivu.com/khach-san-binh-duong/khach-san-hoi-nghia
IVU_000028,binh-duong,HIIVE by Fusion Binh Duong New City,https://www.ivivu.com/khach-san-binh-duong/hiive-by-fusion-binh-duong-new-city
IVU_000029,binh-duong,KHÁCH SẠN KHÁNH BÌNH,https://www.ivivu.com/khach-san-binh-duong/khach-san-khanh-binh
IVU_000030,binh-duong,Kỳ Phú,https://www.ivivu.com/khach-san-binh-duong/ky-phu
IVU_000031,binh-duong,The Emerald Golf View Apartment,https://www.ivivu.com/khach-san-binh-duong/the-emerald-golf-view-apartment
IVU_000032,binh-duong,HIIVE by Fusion Binh Duong,https://www.ivivu.com/khach-san-binh-duong/hiive-by-fusion-binh-duong
IVU_000033,binh-duong,Khách sạn Hoàng Dũng,https://www.ivivu.com/khach-san-binh-duong/hoang-dung-hotel-21952464
IVU_000034,binh-duong,Khách sạn Hoa Anh Đào 2,https://www.ivivu.com/khach-san-binh-duong/hoa-anh-dao-2-hotel
IVU_000035,binh-duong,"Ruby ShopHouse 16 tại EcoXuân ,Thuận An,Bình Dương",https://www.ivivu.com/khach-san-binh-duong/ruby-shophouse-16-tai-ecoxuan-thuan-an-binh-duong
IVU_000036,binh-duong,Habitat Apartment,https://www.ivivu.com/khach-san-binh-duong/habitat-apartment
IVU_000037,binh-duong,The Emerald Golf View Luxury Apartment,https://www.ivivu.com/khach-san-binh-duong/the-emerald-golf-view-luxury-apartment
IVU_000038,binh-duong,Hoàng Hương hotel,https://www.ivivu.com/khach-san-binh-duong/hoang-huong-hotel
