hotel_id,city,hotel_name,hotel_link
IVU_000001,vung-tau,Khách sạn Imperial Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-imperial-vung-tau
IVU_000002,vung-tau,Khu nghỉ dưỡng Holiday Inn Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-holiday-inn-ho-tram
IVU_000003,vung-tau,Melia Hồ Tràm Beach Resort,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-melia-ho-tram
IVU_000004,vung-tau,Khách sạn ibis Styles Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-ibis-styles-vung-tau
IVU_000005,vung-tau,Mercure Hotel Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-mercure-vung-tau
IVU_000006,vung-tau,Khu nghỉ dưỡng Ixora Hồ Tràm by Fusion,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-ixora-ho-tram-by-fusion
IVU_000007,vung-tau,Minera Hot Springs Bình Châu (Khoáng Nóng Thiên Nhiên Bình Châu),https://www.ivivu.com/khach-san-vung-tau/minera-hot-springs-binh-chau
IVU_000008,vung-tau,Khu nghỉ dưỡng Dhawa Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-dhawa-ho-tram
IVU_000009,vung-tau,Khu nghỉ dưỡng Angsana Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-angsana-ho-tram
IVU_000010,vung-tau,Khách sạn Vias Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-vias-vung-tau
IVU_000011,vung-tau,Khách sạn Fusion Suites Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-fusion-suites-vung-tau
IVU_000012,vung-tau,Khu nghỉ dưỡng Lan Rừng Beach Phước Hải,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-lan-rung-beach-phuoc-hai
IVU_000013,vung-tau,Khách sạn InterContinental Grand Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/InterContinental-Grand-Ho-Tram
IVU_000014,vung-tau,Kim Minh Boutique - Luxury Hotel & Apartment,https://www.ivivu.com/khach-san-vung-tau/kim-minh-boutique-luxury-hotel-apartment
IVU_000015,vung-tau,Khách sạn Premier Pearl Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-premier-pearl-vung-tau
IVU_000016,vung-tau,Khách sạn Malibu Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-malibu-vung-tau
IVU_000017,vung-tau,Marina Bay Resort & Spa Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/marina-bay-resort-spa-vung-tau
IVU_000018,vung-tau,Khách sạn Annata Beach Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-annata-beach-vung-tau
IVU_000019,vung-tau,Khách sạn SK Legend Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/sk-legend-vung-tau-hotel
IVU_000020,vung-tau,Stella Hotel & Apartment Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/stella-hotel-apartment
IVU_000021,vung-tau,Khu Nghỉ Dưỡng Emerald Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-emerald-ho-tram
IVU_000022,vung-tau,Khu nghỉ dưỡng Seava Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-seava-ho-tram
IVU_000023,vung-tau,Khách sạn The Cap Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-the-cap-vung-tau
IVU_000024,vung-tau,Khu nghỉ dưỡng Le Palmier Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-le-palmier-ho-tram
IVU_000025,vung-tau,Khách sạn Pullman Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-pullman-vung-tau
IVU_000026,vung-tau,Khách sạn Golden Era Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-golden-era-vung-tau
IVU_000027,vung-tau,Hồ Tràm Beach Boutique Resort & Spa,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-ho-tram-beach-vung-tau
IVU_000028,vung-tau,Khu nghỉ dưỡng Vietsovpetro Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-vietsovpetro-ho-tram
IVU_000029,vung-tau,Khu nghỉ dưỡng Fleur de Lys Long Hải,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-fleur-de-lys-long-hai
IVU_000030,vung-tau,Khu Nghỉ Dưỡng Wonderland Royal Mansions Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-wonderland-royal-mansions-ho-tram
IVU_000031,vung-tau,Khách sạn Green Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/green-hotel-vung-tau
IVU_000032,vung-tau,Khách sạn New Wave Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-new-wave-vung-tau
IVU_000033,vung-tau,Khách sạn Petro House Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-petro-house-vung-tau
IVU_000034,vung-tau,Khách sạn Petro,https://www.ivivu.com/khach-san-vung-tau/petro-hotel
IVU_000035,vung-tau,Khách sạn Queen Garden,https://www.ivivu.com/khach-san-vung-tau/queen-garden-hotel
IVU_000036,vung-tau,Saint Simeon Resort & Spa Long Hải,https://www.ivivu.com/khach-san-vung-tau/saint-simeon-resort-spa-long-hai
IVU_000037,vung-tau,Melody Apartment Vũng Tàu - Xuân's Homestay,https://www.ivivu.com/khach-san-vung-tau/family-homestay-melody-vung-tau
IVU_000038,vung-tau,Khách sạn Mermaid Seaside Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-mermaid-seaside-vung-tau
IVU_000039,vung-tau,Khách sạn Petro House Vũng Tàu (Block A),https://www.ivivu.com/khach-san-vung-tau/khach-san-petro-house-vung-tau-block-a
IVU_000040,vung-tau,Khách sạn Lam Kiều,https://www.ivivu.com/khach-san-vung-tau/lam-kieu-hotel
IVU_000041,vung-tau,Aria Resort - BlueShaphire Can ho nghi duong co ha boi va bai tam rieng,https://www.ivivu.com/khach-san-vung-tau/aria-resort-blueshaphire-can-ho-nghi-duong-co-ha-boi-va-bai-tam-rieng
IVU_000042,vung-tau,Khách Sạn MERMAID SEASIDE,https://www.ivivu.com/khach-san-vung-tau/mermaid-seaside-hotel
IVU_000043,vung-tau,Mermaid Seaview Apartment Vung Tau,https://www.ivivu.com/khach-san-vung-tau/mermaid-seaview-apartment-vung-tau
IVU_000044,vung-tau,Khách sạn Amis,https://www.ivivu.com/khach-san-vung-tau/amis-hotel
IVU_000045,vung-tau,The Sóng Apartment Vũng Tàu – Paris Homestay,https://www.ivivu.com/khach-san-vung-tau/the-song-apartment-vung-tau-paris-homestay
IVU_000046,vung-tau,Khách Sạn Sunrise Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/sunrise-hotel-vung-tau
IVU_000047,vung-tau,The Sóng Vũng Tàu Homestay - VTLand,https://www.ivivu.com/khach-san-vung-tau/the-song-vung-tau-homestay-vung-tau-land
IVU_000048,vung-tau,The Sóng Apartment Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/vung-tau-the-song-apartment
IVU_000049,vung-tau,Khách sạn Bảo Khôi HANZ,https://www.ivivu.com/khach-san-vung-tau/hanz-bao-khoi-hotel
IVU_000050,vung-tau,Khách sạn D'Melin Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/hotel-dmelin
IVU_000051,vung-tau,Khách sạn Mi Lan Corner,https://www.ivivu.com/khach-san-vung-tau/mi-lan-corner-hotel
IVU_000052,vung-tau,Biệt thự Rosie trong khu nghỉ dưỡng Oceanami,https://www.ivivu.com/khach-san-vung-tau/rosie-villas-in-oceanami-resort
IVU_000053,vung-tau,An Nhiên Villa Hotel,https://www.ivivu.com/khach-san-vung-tau/an-nhien-villa-hotel
IVU_000054,vung-tau,Ruby Hotel&Apartment,https://www.ivivu.com/khach-san-vung-tau/ruby-hotel-apartment
IVU_000055,vung-tau,Caroline Sea Hotel,https://www.ivivu.com/khach-san-vung-tau/caroline-sea-hotel
IVU_000056,vung-tau,OYO 159 Khách sạn Ruby,https://www.ivivu.com/khach-san-vung-tau/ruby-hotel-6678340
IVU_000057,vung-tau,The Song Luxury Apartment by Lisa House,https://www.ivivu.com/khach-san-vung-tau/the-song-luxury-apartment-by-lisa-house
IVU_000058,vung-tau,Vung Tau THE SONG Apartment - RubyVilla Near Beach,https://www.ivivu.com/khach-san-vung-tau/the-song-apartment-condotel-5-sao-rubyvilla-homestay
IVU_000059,vung-tau,The Sóng Apartment Vũng Tàu - Harry's Homestay,https://www.ivivu.com/khach-san-vung-tau/the-song-apartment-vung-tau-harrys-homestay
IVU_000060,vung-tau,The Sóng Apartment Vũng Tàu - Green House,https://www.ivivu.com/khach-san-vung-tau/the-song-apartment-vung-tau-green-house
IVU_000061,vung-tau,The Song Apartment - Căn hộ The Song - Mai Villa Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/the-song-apartment-can-ho-the-song-mai-villa-vung-tau
IVU_000062,vung-tau,Hải Dương 2,https://www.ivivu.com/khach-san-vung-tau/hai-duong-2
IVU_000063,vung-tau,Vũng Tàu The Song Apartment - Paris Homestay,https://www.ivivu.com/khach-san-vung-tau/vung-tau-the-song-apartment-paris-homestay
IVU_000064,vung-tau,The Song Apartment - ViViVilla Homestay,https://www.ivivu.com/khach-san-vung-tau/the-song-apartment-vivivilla-homestay
IVU_000065,vung-tau,MeoMeo Homestay – The Sóng Apartment,https://www.ivivu.com/khach-san-vung-tau/meomeo-homestay-the-song-apartment
IVU_000066,vung-tau,The Sóng Luxury Apartment Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/the-song-luxury-apartment-vung-tau
IVU_000067,vung-tau,The Song Apartment - Tropical House,https://www.ivivu.com/khach-san-vung-tau/the-song-apartment-tropical-house
IVU_000068,vung-tau,Hoang Bach Hotel,https://www.ivivu.com/khach-san-vung-tau/hoang-bach-hotel
IVU_000069,vung-tau,Khách sạn Mi Lan Diamond,https://www.ivivu.com/khach-san-vung-tau/mi-lan-diamond-hotel
IVU_000070,vung-tau,Rubillion Hotel,https://www.ivivu.com/khach-san-vung-tau/rubillion-hotel
IVU_000071,vung-tau,Khu nghỉ dưỡng Mi Lan Boutique,https://www.ivivu.com/khach-san-vung-tau/mi-lan-boutique-resort
IVU_000072,vung-tau,Biệt thự gần bãi biển CocoPalm - Phòng Palm,https://www.ivivu.com/khach-san-vung-tau/cocopalm-villa-near-beach-palm-room
IVU_000073,vung-tau,Twins Hotel,https://www.ivivu.com/khach-san-vung-tau/twins-hotel-55339827
IVU_000074,vung-tau,CSJ Tower Vũng Tàu - May Homestay,https://www.ivivu.com/khach-san-vung-tau/csj-tower-vung-tau-may-homestay
IVU_000075,vung-tau,"Classy Home - CSJ Tower Vũng Tàu, Luxury, Sky-Sea View and Walk-To-Beach",https://www.ivivu.com/khach-san-vung-tau/classy-home-csj-tower-vung-tau-luxury-sky-sea-view-and-walk-to-beach
IVU_000076,vung-tau,5 homestay,https://www.ivivu.com/khach-san-vung-tau/5-homestay
IVU_000077,vung-tau,SeaSide Apartment - CSJ Tower Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/seaside-apartment-csj-tower-vung-tau
IVU_000078,vung-tau,"BeachSide Suites - CSJ Vung Tau Tower, Ocean View",https://www.ivivu.com/khach-san-vung-tau/beachside-suites-csj-vung-tau-tower-ocean-view
IVU_000079,vung-tau,VANILLA HO TRAM HOMESTAY,https://www.ivivu.com/khach-san-vung-tau/vanilla-ho-tram-homestay
IVU_000080,vung-tau,5 homestay - No. 4,https://www.ivivu.com/khach-san-vung-tau/5-homestay-no-4
IVU_000081,vung-tau,The Sóng Vũng Tàu - Thương's Homestay,https://www.ivivu.com/khach-san-vung-tau/the-song-vung-tau-thuongs-homestay
IVU_000082,vung-tau,Căn Hộ The Sóng Vũng Tàu - Sophia's Homestay,https://www.ivivu.com/khach-san-vung-tau/can-ho-the-song-vung-tau-sophias-homestay
IVU_000083,vung-tau,"SUNday Premium Apart - The Song Vung Tau, SkyPool",https://www.ivivu.com/khach-san-vung-tau/sunday-premium-apart-the-song-vung-tau-skypool
IVU_000084,vung-tau,"Dứa's House - The Sóng Vũng Tàu, Sky Pool & Gym",https://www.ivivu.com/khach-san-vung-tau/duas-house-the-song-vung-tau-sky-pool-gym
IVU_000085,vung-tau,The Rex’s Song Boutique Apartment,https://www.ivivu.com/khach-san-vung-tau/the-rexas-song-boutique-apartment
IVU_000086,vung-tau,Nang's Apartment - The Song Vung Tau,https://www.ivivu.com/khach-san-vung-tau/nangs-apartment-the-song-vung-tau
IVU_000087,vung-tau,"Oasis Suites - The Song, Infinity Pool & Gymt",https://www.ivivu.com/khach-san-vung-tau/oasis-suites-the-song-infinity-pool-gymt
IVU_000088,vung-tau,5 homestay - No.3,https://www.ivivu.com/khach-san-vung-tau/5-homestay-no-3
IVU_000089,vung-tau,The Sóng Apartment Vũng Tàu - Healing House,https://www.ivivu.com/khach-san-vung-tau/the-song-apartment-vung-tau-healing-house
IVU_000090,vung-tau,Toan'House-The Sóng Condotel Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/toanhouse-the-song-condotel-vung-tau
IVU_000091,vung-tau,The Song Vung Tau Apartment - QUYNH's Homestay,https://www.ivivu.com/khach-san-vung-tau/the-song-vung-tau-apartment-quynhs-homestay
IVU_000092,vung-tau,Nancy Tran Grand Strip Sea View 3 bedrooms,https://www.ivivu.com/khach-san-vung-tau/nancy-tran-grand-strip-sea-view-3-bedrooms
IVU_000093,vung-tau,The Song Apartment Vung Tau - Hao's Homestay,https://www.ivivu.com/khach-san-vung-tau/the-song-apartment-vung-tau-haos-homestay
IVU_000094,vung-tau,Trong's Apartment - The Song Vung Tau Condotel,https://www.ivivu.com/khach-san-vung-tau/trongs-apartment-the-song-vung-tau-condotel
IVU_000095,vung-tau,Villa 52 Vo Thi Sau Vung Tau,https://www.ivivu.com/khach-san-vung-tau/villa-52-vo-thi-sau-vung-tau
IVU_000096,vung-tau,Khách sạn Corvin Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-corvin-vung-tau
IVU_000097,vung-tau,Khu nghỉ dưỡng Carmelina Beach Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-carmelina-beach-ho-tram
IVU_000098,vung-tau,Khách sạn Romeliess Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-romeliess-vung-tau
IVU_000099,vung-tau,Khách sạn Palace,https://www.ivivu.com/khach-san-vung-tau/khach-san-palace-vung-tau
IVU_000100,vung-tau,Khu nghỉ dưỡng & biệt thự Sanctuary Hồ Tràm,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-va-biet-thu-sanctuary-vung-tau
IVU_000101,vung-tau,Khu nghỉ dưỡng Seaside Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-seaside-vung-tau
IVU_000102,vung-tau,Khách sạn Minh Đăng Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/minh-dang-hotel-vung-tau
IVU_000103,vung-tau,Khách sạn Sammy Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-sammy-vung-tau
IVU_000104,vung-tau,Khách sạn Sea Mountain Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-sea-mountain-vung-tau
IVU_000105,vung-tau,Khách sạn Kiều Anh,https://www.ivivu.com/khach-san-vung-tau/khach-san-kieu-anh-vung-tau
IVU_000106,vung-tau,Khách sạn Bưu Điện Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-buu-dien-vung-tau
IVU_000107,vung-tau,Binh An Village Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/binh-an-village-vung-tau
IVU_000108,vung-tau,Khách sạn Mường Thanh Holiday Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-muong-thanh-vung-tau
IVU_000109,vung-tau,Khách sạn Rex Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-rex-vung-tau
IVU_000110,vung-tau,Khách sạn Grand Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-grand-vung-tau
IVU_000111,vung-tau,Khách sạn Hoàng Linh Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-hoang-linh-vung-tau
IVU_000112,vung-tau,SV Boutique Resort,https://www.ivivu.com/khach-san-vung-tau/leman-cap-resort-and-spa
IVU_000113,vung-tau,Khách sạn The Coast Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-the-coast-vung-tau
IVU_000114,vung-tau,Khách sạn Phoenix Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-phoenix-vung-tau
IVU_000115,vung-tau,Sunny Hotel Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-sunny-vung-tau
IVU_000116,vung-tau,An Hoa Residence,https://www.ivivu.com/khach-san-vung-tau/khu-nghi-duong-an-hoa-residence-long-hai
IVU_000117,vung-tau,Khách sạn Vee Voo Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-vee-voo-vung-tau
IVU_000118,vung-tau,Oceanami Villas & Beach Club Long Hải,https://www.ivivu.com/khach-san-vung-tau/oceanami-villas-beach-club-long-hai
IVU_000119,vung-tau,Khách Sạn Bella Vita Phước Hải,https://www.ivivu.com/khach-san-vung-tau/khach-san-bella-vita-phuoc-hai
IVU_000120,vung-tau,Ocean Sunrise Vung Tau,https://www.ivivu.com/khach-san-vung-tau/darby-park-serviced-residences483538
IVU_000121,vung-tau,Khách sạn Royal,https://www.ivivu.com/khach-san-vung-tau/royal-hotel-1
IVU_000122,vung-tau,Lotus Vung Tau Resort,https://www.ivivu.com/khach-san-vung-tau/lotus-vung-tau-resort
IVU_000123,vung-tau,Khách sạn & Căn hộ BH Residence Inn,https://www.ivivu.com/khach-san-vung-tau/bh-residence-inn
IVU_000124,vung-tau,Dream Box Hostel,https://www.ivivu.com/khach-san-vung-tau/dream-box-hostel
IVU_000125,vung-tau,Hese Boutique Hotel & Apartment,https://www.ivivu.com/khach-san-vung-tau/the-wind-mountain-side-hotel
IVU_000126,vung-tau,Khách sạn Oceanward Phước Hải,https://www.ivivu.com/khach-san-vung-tau/khach-san-oceanward-phuoc-hai
IVU_000127,vung-tau,Khách Sạn Biển Ngọc Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/khach-san-bien-ngoc-vung-tau
IVU_000128,vung-tau,Khu nghỉ dưỡng Wind Boutique,https://www.ivivu.com/khach-san-vung-tau/the-wind-boutique-resort
IVU_000129,vung-tau,Khách sạn căn hộ DIC Star Landmark Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/the-landmark-residence
