room_id,hotel_id,room_name,price,area_m2,bed_type,max_occupancy,view,amenities
ROOM_000001,IVU_000001,River View Executive Suite,9223500,85 m²,1 Giường King,3,Hướng sông,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng sông; 85 m²; Phòng không hút thuốc; Ban công; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King
ROOM_000002,IVU_000001,Garden View Two Bedroom Suite,13289500,121 m²,2 Giường đơn,3,Hướng vườn,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng vườn; 121 m²; Phòng không hút thuốc; Ban công; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 2 phòng ngủ; 1 Giường King; 2 Giường đơn
ROOM_000003,IVU_000001,River View Signature Suite,15996500,206 m²,1 Giường King,3,Hướng sông,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng sông; 206 m²; Phòng không hút thuốc; Vòi hoa sen; Máy lạnh; 1 Giường King
ROOM_000004,IVU_000001,Garden Two Bedroom Pool Villa,19067500,174 m²,2 Giường đơn,3,Hướng vườn,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng vườn; 174 m²; Phòng không hút thuốc; Ban công; Hồ bơi; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 2 phòng ngủ; 1 Giường King; 2 Giường đơn
ROOM_000005,IVU_000001,Riverfront Two Bedroom Pool Villa,22138500,177 m²,2 Giường đơn,3,Hướng sông,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng sông; 177 m²; Phòng không hút thuốc; Ban công; Hồ bơi; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 2 phòng ngủ; 1 Giường King; 2 Giường đơn
ROOM_000006,IVU_000001,Garden View Suite,6805500,64 m²,,3,Hướng vườn,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng vườn; 64 m²; Phòng không hút thuốc; Ban công; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_000007,IVU_000001,River View Suite,8014500,64 m²,1 Giường King,3,Hướng sông,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng sông; 64 m²; Phòng không hút thuốc; Ban công; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King
ROOM_000008,IVU_000001,Garden Pool Suite,11021000,107 m²,1 Giường King,3,Hướng vườn,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng vườn; 107 m²; Phòng không hút thuốc; Ban công; Hồ bơi; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King
ROOM_000009,IVU_000001,Garden Pool Villa,13600000,100 m²,1 Giường King,3,Hướng vườn,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng vườn; 100 m²; Phòng không hút thuốc; Ban công; Hồ bơi; Cửa sổ; Bồn tắm; Vòi hoa sen; 1 Giường King
ROOM_000010,IVU_000001,Riverfront Pool Villa,15675500,130 m²,1 Giường King,3,Hướng sông,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng sông; 130 m²; Phòng không hút thuốc; Ban công; Hồ bơi; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Giường King
ROOM_001001,IVU_000002,Premier Sky View,19845000,36 m²,Giường cũi của em bé (theo yêu cầu),3,Hướng thành phố,Hướng thành phố; 36 m²; Hướng thành phố; 36 m²; Hướng thành phố; 36 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Bồn tắm; Vòi hoa sen; 1 phòng ngủ; Ấm nước điện; Áo choàng tắm; Bồn tắm; Máy sấy tóc; Gương; phòng tắm riêng; Cân; Bồn tắm/vòi sen riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Điều hòa; Đồng hồ báo thức; Dép đi trong nhà; Ổ cắm điện gần giường; Dịch vụ báo thức; Trà miễn phí; Nước đóng chai miễn phí; Tủ lạnh nhỏ trong phòng; Bàn làm việc; Khu vực tiếp khách; Thùng rác; Tủ quần áo; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Điều hòa cá nhân; Két sắt trong phòng; Két sắt cho máy tính xách tay; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
ROOM_003001,IVU_000004,Deluxe Room,1836000,29 m²,,3,Hướng thành phố | không cảnh quan,Hướng thành phố | không cảnh quan; 29 m²; Hướng thành phố; 56 m²; Hướng hồ bơi; 45-61 m²; Hướng hồ bơi | thành phố; 87 m²; Hướng thành phố | không cảnh quan; 29 m²; Phòng không hút thuốc; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_003002,IVU_000004,Suite Room,2268000,56 m²,1 Giường King (1m8 x 2m),3,Hướng thành phố,Hướng thành phố | không cảnh quan; 29 m²; Hướng thành phố; 56 m²; Hướng hồ bơi; 45-61 m²; Hướng hồ bơi | thành phố; 87 m²; Hướng thành phố; 56 m²; Phòng không hút thuốc; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King (1m8 x 2m)
