room_id,hotel_id,room_name,price,area_m2,bed_type,max_occupancy,view,amenities
ROOM_000001,IVU_000001,Heritage/Residence Grand Twin,5544000,47-55 m²,2 Giường đơn (1m2 x 2m),3,Hướng vườn | thành phố | nội khu,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Vòi hoa sen / Bồn tắm nằm; 2 Giường đơn (1m2 x 2m)
ROOM_000002,IVU_000001,Heritage/Residence Grand King,5544000,47-55 m²,1 Giường King (1m8x2m),3,Hướng vườn | thành phố | nội khu,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Vòi hoa sen / Bồn tắm nằm; 1 Giường King (1m8x2m)
ROOM_000003,IVU_000001,Heritage Deluxe Triple,5687000,47-50 m²,1 Giường đôi & 1 giường đơn,3,Hướng vườn | thành phố | nội khu,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Bồn tắm; Vòi hoa sen; 1 Giường đôi & 1 giường đơn
ROOM_000004,IVU_000001,Heritage/Residence Grand King Ocean View,6116000,47-55 m²,1 Giường King (1m8x2m),3,Hướng biển,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng biển; 47-55 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Vòi hoa sen / Bồn tắm nằm; 1 Giường King (1m8x2m)
ROOM_000005,IVU_000001,Heritage Deluxe Triple Ocean View,6259000,47-50 m²,1 Giường đôi & 1 giường đơn,3,Hướng biển,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng biển; 47-50 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Bồn tắm; Vòi hoa sen; 1 Giường đôi & 1 giường đơn
ROOM_000006,IVU_000001,Heritage/Residence Suite,6545000,62-72 m²,1 Giường King (1m8x2m),3,Hướng hồ bơi | thành phố,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Vòi hoa sen / Bồn tắm nằm; 1 Giường King (1m8x2m)
ROOM_000007,IVU_000001,Heritage Deluxe Family,7106000,72 m²,1 Giường Queen (1m6 x 2m),3,Hướng thành phố,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng thành phố; 72 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Bồn tắm; 2 phòng ngủ; 1 Giường King (1m8 x 2m); 1 Giường Queen (1m6 x 2m)
ROOM_000008,IVU_000001,Heritage/Residence Suite Ocean View,7370000,62-72 m²,1 Giường King (1m8x2m),3,Hướng biển,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng biển; 62-72 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Vòi hoa sen / Bồn tắm nằm; 1 Giường King (1m8x2m)
ROOM_000009,IVU_000001,Residence Two Bedroom Suite Ocean View,9889000,105 m²,,3,Hướng biển,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng biển; 105 m²; Phòng không hút thuốc; Ban công; Vòi hoa sen / Bồn tắm nằm; 2 Toilet; 2 phòng ngủ
ROOM_000010,IVU_000001,Heritage| Deluxe King,4587000,37 m²,1 Giường King (1m8 x 2m),3,Hướng vườn | thành phố | nội khu,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng vườn | thành phố | nội khu; 37 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Bồn tắm; Vòi hoa sen; 1 Giường King (1m8 x 2m)
ROOM_000011,IVU_000001,Heritage/Residence Deluxe Twin,4587000,37 m²,2 Giường đơn (1m2 x 2m),3,Hướng vườn | thành phố | nội khu,Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-55 m²; Hướng vườn | thành phố | nội khu; 47-50 m²; Hướng biển; 47-55 m²; Hướng biển; 47-50 m²; Hướng hồ bơi | thành phố; 62-72 m²; Hướng thành phố; 72 m²; Hướng biển; 62-72 m²; Hướng biển; 105 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng vườn | thành phố | nội khu; 37 m²; Hướng biển; 37-50 m²; Hướng biển; 37-50 m²; Hướng vườn | thành phố | nội khu; 37 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Vòi hoa sen / Bồn tắm nằm; 2 Giường đơn (1m2 x 2m)
