room_id,hotel_id,room_name,price,area_m2,bed_type,max_occupancy,view,amenities
IVU_ROOM_000001,IVU_HOTEL_001395,Deluxe Double,729750,25 m²,1 Giường đôi,2.0,,25 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; 35 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
IVU_ROOM_000002,IVU_HOTEL_001395,Deluxe Twin,653500,25 m²,2 Giường đơn,2.0,,25 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; 35 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 2 Giường đơn
IVU_ROOM_000003,IVU_HOTEL_001395,VIP Double,832000,35 m²,1 Giường đôi,2.0,,25 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; 35 m²; Vòi hoa sen; 35 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
IVU_ROOM_000004,IVU_HOTEL_001396,Phòng 1 Giường Đôi 1m8,653500,20 m²,1 Giường King (1m8),2.0,,20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King (1m8)
IVU_ROOM_000005,IVU_HOTEL_001396,Phòng 1 Giường Đôi 1m8 - View,772500,20 m²,1 Giường King (1m8),2.0,,20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King (1m8)
IVU_ROOM_000006,IVU_HOTEL_001396,Phòng 2 Giường Đơn 1m2,772500,20 m²,2 Giường đơn (1m2),2.0,,20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 1 Toilet; 2 Giường đơn (1m2)
IVU_ROOM_000007,IVU_HOTEL_001396,Phòng 1 Giường Đôi 1m8 - VIP,1010000,20 m²,1 Giường King (1m8),2.0,,20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King (1m8)
IVU_ROOM_000008,IVU_HOTEL_001396,Phòng 2 Giường Đôi,1010000,20 m²,2 Giường đôi (1m4 & 1m8),2.0,,20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 2 Giường đôi (1m4 & 1m8)
IVU_ROOM_000009,IVU_HOTEL_001398,Junior Suite,1978000,,,3.0,,Ấm nước điện; Áo choàng tắm; Ấm nước điện; Áo choàng tắm; Ấm nước điện; Áo choàng tắm; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Máy tính; Truy cập Internet - không dây; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [tính phí]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Rèm che ánh sáng; Sưởi; Dép đi trong nhà; Cách âm; Ô; Dịch vụ báo thức; Rượu; Máy pha trà/cà phê; Trà miễn phí; Bàn ăn; Nước đóng chai miễn phí; Bếp đầy đủ; Bếp nhỏ; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Dọn phòng hằng ngày; Ban công/sân hiên; Bàn làm việc; Khu vực tiếp khách; Ghế sofa; Cửa sổ; Cửa sổ mở; Sàn gỗ/gỗ miếng; Tủ quần áo; Giá treo quần áo; Két sắt trong phòng; Két sắt cho máy tính xách tay
IVU_ROOM_000010,IVU_HOTEL_001398,Executive Suite,2368250,,,3.0,,Ấm nước điện; Áo choàng tắm; Ấm nước điện; Áo choàng tắm; Ấm nước điện; Áo choàng tắm; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Máy tính; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [tính phí]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Rèm che ánh sáng; Sưởi; Dép đi trong nhà; Cách âm; Ô; Rượu; Máy pha trà/cà phê; Trà miễn phí; Bàn ăn; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Dọn phòng hằng ngày; Ban công/sân hiên; Bàn làm việc; Ghế sofa; Cửa sổ; Cửa sổ mở; Sàn gỗ/gỗ miếng; Tủ quần áo; Giá treo quần áo; Két sắt trong phòng
IVU_ROOM_000011,IVU_HOTEL_001399,Deluxe giường đôi hoặc 2 giường,601500,28 m²,Vải trải giường,2.0,Hướng City view,Hướng City view; 28 m²; Hướng City view; 28 m²; Phòng không hút thuốc; Bồn tắm; Máy sấy tóc; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Truy cập Internet - không dây; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Vải trải giường; Dép đi trong nhà; Dịch vụ báo thức; Bàn ăn; Nước đóng chai miễn phí; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Bàn làm việc; Thùng rác; Tủ quần áo; Giá treo quần áo; Đi lên bằng thang máy; Két sắt trong phòng; Tủ có khoá; Tính năng an toàn/bảo mật; Đầu báo khói
IVU_ROOM_000012,IVU_HOTEL_001403,Studio Executive,1097250,35 m²,Giường cũi của em bé (theo yêu cầu),3.0,Hướng City view,Hướng City view; 35 m²; Hướng City view; 50 m²; Hướng City view; 54 m²; Hướng City view; 60 m²; Hướng City view; 63 m²; Hướng City view; 71 m²; Hướng City view; 35 m²; Phòng không hút thuốc; Vòi hoa sen; Máy lạnh; 1 phòng ngủ; Khả năng tiếp cận cho người khó đi lại; Phòng tắm có băng ghế tắm; Ấm nước điện; Áo choàng tắm; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Đầu đĩa DVD/CD; Truy cập Internet - không dây; Internet mạng LAN trong phòng [miễn phí]; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Nước rửa tay; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Dịch vụ báo thức; Trà miễn phí; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; Khu vực tiếp khách; Khu vực ăn uống riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Máy sấy quần áo; Giá treo quần áo; Tiện nghi là/ủi; Bộ kim chỉ; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Tủ có khoá; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
