hotel_id,city,hotel_name,hotel_link
IVU_000001,ho-chi-minh,Khu Nghỉ Dưỡng An Lâm Retreats Saigon River,https://www.ivivu.com/khach-san-ho-chi-minh/An-Lam-Retreats-Saigon-River
IVU_000002,ho-chi-minh,Vinpearl Landmark 81 Autograph Collection Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/vinpearl-luxury-landmark-81
IVU_000003,ho-chi-minh,Khách sạn ÊMM Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-emm-sai-gon
IVU_000004,ho-chi-minh,Khách sạn Tân Sơn Nhất Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-tan-son-nhat-sai-gon
IVU_000005,ho-chi-minh,Khách sạn Wink Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-wink-sai-gon
IVU_000006,ho-chi-minh,Khách sạn The Airport Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/the-airport-hotel-1
IVU_000007,ho-chi-minh,Khách sạn A25 - 55 Lê Anh Xuân,https://www.ivivu.com/khach-san-ho-chi-minh/a25-hotel-55-le-anh-xuan
IVU_000008,ho-chi-minh,Khách Sạn Diamond Hill Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-diamond-hill
IVU_000009,ho-chi-minh,Khách sạn A25 - 55 Cách Mạng Tháng 8,https://www.ivivu.com/khach-san-ho-chi-minh/a25-cach-mang-thang-8
IVU_000010,ho-chi-minh,Khách sạn A25 - 255 Lê Thánh Tôn,https://www.ivivu.com/khach-san-ho-chi-minh/a25-hotel-255-le-thanh-ton
IVU_000011,ho-chi-minh,Khách sạn A25 - 55/29 Lê Thị Hồng Gấm,https://www.ivivu.com/khach-san-ho-chi-minh/a25-hotel-29-le-thi-hong-gam
IVU_000012,ho-chi-minh,Khách sạn A25 - 277 Lê Thánh Tôn,https://www.ivivu.com/khach-san-ho-chi-minh/a25-hotel-277-le-thanh-ton
IVU_000013,ho-chi-minh,Khách sạn Sunrise Central Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-sunrise-central-sai-gon
IVU_000014,ho-chi-minh,Khách sạn A25 - 29 Bùi Thị Xuân,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a25-29-bui-thi-xuan
IVU_000015,ho-chi-minh,Khách Sạn A&Em - Phan Bội Châu Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a-em-phan-boi-chau-sai-gon
IVU_000016,ho-chi-minh,Khách sạn A25 - 35 Mạc Thị Bưởi,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a25-mac-thi-buoi-sai-gon
IVU_000017,ho-chi-minh,Khách sạn A25 - 22 Nguyễn Cư Trinh,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a25-nguyen-cu-trinh-sai-gon
IVU_000018,ho-chi-minh,Khách sạn Avanti Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-avanti-hotel-sai-gon
IVU_000019,ho-chi-minh,Khách Sạn Riverside Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/riverside-hotel-saigon
IVU_000020,ho-chi-minh,Khách sạn A25 - 14 Phó Đức Chính,https://www.ivivu.com/khach-san-ho-chi-minh/boss-hotel-3
IVU_000021,ho-chi-minh,Khách sạn A25 - 20 Bùi Thị Xuân,https://www.ivivu.com/khach-san-ho-chi-minh/a25-hotel-20-bui-thi-xuan
IVU_000022,ho-chi-minh,Khách sạn A25 - 25 Trương Định,https://www.ivivu.com/khach-san-ho-chi-minh/a25-hotel-25-truong-dinh
IVU_000023,ho-chi-minh,Khách sạn A25 - 06 Trương Định,https://www.ivivu.com/khach-san-ho-chi-minh/a25-hotel-06-truong-dinh
IVU_000024,ho-chi-minh,Khách sạn Thành Long Trà Khúc Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-thanh-long-tra-khuc-sai-gon
IVU_000025,ho-chi-minh,Khách sạn White Lotus Boutique Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/white-lotus-boutique
IVU_000026,ho-chi-minh,Khách sạn 22Land Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/22land-hotel-saigon
IVU_000027,ho-chi-minh,Khách sạn Căn hộ Green River Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-can-ho-green-river
IVU_000028,ho-chi-minh,Khách sạn A25 - 75 Lê Thị Hồng Gấm,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a25-75-le-thi-hong-gam
IVU_000029,ho-chi-minh,Khách sạn A25 - 180 Nguyễn Trãi,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a25-180-nguyen-trai
IVU_000030,ho-chi-minh,Khách sạn A25 - 307 Lý Tự Trọng,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a25-307-ly-tu-trong
IVU_000031,ho-chi-minh,Khách sạn A25 - 14 Lương Hữu Khánh,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a25-14-luong-huu-khanh
IVU_000032,ho-chi-minh,Khách sạn A25 - 251 Hai Bà Trưng,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a25-251-hai-ba-trung
IVU_000033,ho-chi-minh,Khách sạn A25 - 14 Hồ Huấn Nghiệp,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a25-14-ho-huan-nghiep-1
IVU_000034,ho-chi-minh,Khách sạn A25 - 65G Nguyễn Thái Học,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-a25-65g-nguyen-thai-hoc
IVU_000035,ho-chi-minh,Khách sạn Mia Luxury Boutique Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-mia-luxury-boutique-sai-gon
IVU_000036,ho-chi-minh,Khách sạn Nikko Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-nikko-sai-gon
IVU_000037,ho-chi-minh,Khách sạn La Vela Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-la-vela-sai-gon
IVU_000038,ho-chi-minh,Khách sạn JW Marriott & Suites Saigon,https://www.ivivu.com/khach-san-ho-chi-minh/Khach-san-JW-Marriott-Suites-Saigon
IVU_000039,ho-chi-minh,Khách sạn Fusion Original Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-fusion-original-sai-gon
IVU_000040,ho-chi-minh,Hôtel des Arts Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-des-arts-sai-gon-mgallery-collection
IVU_000041,ho-chi-minh,Khách sạn Renaissance Riverside Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-renaissance-riverside-saigon
IVU_000042,ho-chi-minh,Khách sạn Park Hyatt Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/park-hyatt-saigon
IVU_000043,ho-chi-minh,Khách sạn Rex Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-rex-sai-gon
IVU_000044,ho-chi-minh,Holiday Inn & Suites Saigon Airport,https://www.ivivu.com/khach-san-ho-chi-minh/holiday-inn-suites-saigon-airport
IVU_000045,ho-chi-minh,Khách Sạn Lotte Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-lotte-sai-gon
IVU_000046,ho-chi-minh,Khách sạn Pullman Saigon Centre,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-pullman-saigon-centre
IVU_000047,ho-chi-minh,Khách sạn Le Meridien Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-le-meridien-sai-gon
IVU_000048,ho-chi-minh,Khách sạn Fusion Suites Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/fusion-suites-saigon
IVU_000049,ho-chi-minh,Khách sạn The Myst Đồng Khởi Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/the-myst-dong-khoi
IVU_000050,ho-chi-minh,Khách sạn The Odys Boutique Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-the-odys-boutique-sai-gon
IVU_000051,ho-chi-minh,Khách sạn Liberty Central Saigon Citypoint,https://www.ivivu.com/khach-san-ho-chi-minh/khach-san-liberty-central-saigon-citypoint
IVU_000052,ho-chi-minh,Khách sạn Âu Lạc Charner Sài Gòn,https://www.ivivu.com/khach-san-ho-chi-minh/Au-Lac-Charner-Sai-Gon
