room_id,hotel_id,room_name,price,area_m2,bed_type,max_occupancy,view,amenities
ROOM_000001,IVU_000001,Deluxe Double,729750,25 m²,1 Giường đôi,2,,25 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; 35 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
ROOM_000002,IVU_000001,Deluxe Twin,653500,25 m²,2 Giường đơn,2,,25 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; 35 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 2 Giường đơn
ROOM_000003,IVU_000001,VIP Double,832000,35 m²,1 Giường đôi,2,,25 m²; Vòi hoa sen; 25 m²; Vòi hoa sen; 35 m²; Vòi hoa sen; 35 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
ROOM_001001,IVU_000002,Phòng 1 Giường Đôi 1m8,653500,20 m²,1 Giường King (1m8),2,,20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King (1m8)
ROOM_001002,IVU_000002,Phòng 1 Giường Đôi 1m8 - View,772500,20 m²,1 Giường King (1m8),2,,20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King (1m8)
ROOM_001003,IVU_000002,Phòng 2 Giường Đơn 1m2,772500,20 m²,2 Giường đơn (1m2),2,,20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 1 Toilet; 2 Giường đơn (1m2)
ROOM_001004,IVU_000002,Phòng 1 Giường Đôi 1m8 - VIP,1010000,20 m²,1 Giường King (1m8),2,,20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King (1m8)
ROOM_001005,IVU_000002,Phòng 2 Giường Đôi,1010000,20 m²,2 Giường đôi (1m4 & 1m8),2,,20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Máy lạnh; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; 20 m²; Vòi hoa sen; Máy lạnh; 1 Toilet; 2 Giường đôi (1m4 & 1m8)
ROOM_003001,IVU_000004,Junior Suite,1978000,,,3,,Ấm nước điện; Áo choàng tắm; Ấm nước điện; Áo choàng tắm; Ấm nước điện; Áo choàng tắm; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Máy tính; Truy cập Internet - không dây; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [tính phí]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Rèm che ánh sáng; Sưởi; Dép đi trong nhà; Cách âm; Ô; Dịch vụ báo thức; Rượu; Máy pha trà/cà phê; Trà miễn phí; Bàn ăn; Nước đóng chai miễn phí; Bếp đầy đủ; Bếp nhỏ; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Dọn phòng hằng ngày; Ban công/sân hiên; Bàn làm việc; Khu vực tiếp khách; Ghế sofa; Cửa sổ; Cửa sổ mở; Sàn gỗ/gỗ miếng; Tủ quần áo; Giá treo quần áo; Két sắt trong phòng; Két sắt cho máy tính xách tay
ROOM_003002,IVU_000004,Executive Suite,2368250,,,3,,Ấm nước điện; Áo choàng tắm; Ấm nước điện; Áo choàng tắm; Ấm nước điện; Áo choàng tắm; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Máy tính; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [tính phí]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Rèm che ánh sáng; Sưởi; Dép đi trong nhà; Cách âm; Ô; Rượu; Máy pha trà/cà phê; Trà miễn phí; Bàn ăn; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Dọn phòng hằng ngày; Ban công/sân hiên; Bàn làm việc; Ghế sofa; Cửa sổ; Cửa sổ mở; Sàn gỗ/gỗ miếng; Tủ quần áo; Giá treo quần áo; Két sắt trong phòng
