source,location,hotel_link,hotel_name,room_type,room_class,bed_type,area_m2,max_people,final_price,facilities_cleaned
Booking,Hồ Chí Minh,https://www.booking.com/hotel/vn/saigon-sky-garden.vi.html?aid=304142&label=mkt123sc-69b9c027-de7b-4ad3-9ca3-ac3a410a913b&ucfs=1&arphpl=1&checkin=2026-01-10&checkout=2026-01-15&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=a9cdd2df9f4a88c422489629bcc26803&srepoch=1767620178&all_sr_blocks=242094104_297724462_3_2_0&highlighted_blocks=242094104_297724462_3_2_0&matching_block_id=242094104_297724462_3_2_0&sr_pri_blocks=242094104_297724462_3_2_0__1932000000&from=searchresults,Saigon Sky Garden Serviced Apartments,Căn hộ Deluxe,Suite,Mixed Beds,136.0,2.0,19320000.0,"136 m², 8.9 – dựa trên 35 đánh giá, ban công, bàn ăn, bếp, bồn tắm, bếp nấu, ch, căn hộ deluxe, căn hộ nguyên căn, giường thoải mái, khu vực phòng ăn, kích thước căn hộ 136 m², lò vi sóng, lò nướng, nhìn ra sông, nhìn ra thành phố, phòng ngủ 1: 1 giường đôi cực lớn, phòng ngủ 2: 1 giường đơn, trong nhà bếp riêng của bạn:, trong phòng tắm chung của bạn:, tủ lạnh, tv màn hình phẳng, vòi sen, wifi miễn phí, điều hòa không khí, đồ bếp, đồ vệ sinh cá nhân miễn phí, ấm đun nước điện"
Booking,Hồ Chí Minh,https://www.booking.com/hotel/vn/windsor-plaza.vi.html?aid=304142&label=mkt123sc-69b9c027-de7b-4ad3-9ca3-ac3a410a913b&ucfs=1&arphpl=1&checkin=2026-01-10&checkout=2026-01-15&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=19&hapos=63&sr_order=popularity&srpvid=a9cdd2df9f4a88c422489629bcc26803&srepoch=1767619696&all_sr_blocks=18470383_364658791_0_2_0_1160813%2C18470383_364658791_0_2_0_1160813&highlighted_blocks=18470383_364658791_0_2_0_1160813%2C18470383_364658791_0_2_0_1160813&matching_block_id=18470383_364658791_0_2_0_1160813&sr_pri_blocks=18470383_364658791_0_2_0_1160813_1279200000%2C18470383_364658791_0_2_0_1160813_1279200000&from=searchresults,Windsor Plaza Hotel,Phòng Deluxe Đơn,Deluxe,Double,301.0,2.0,25584000.0,"1 giường đôi, 301 m², 8, 8 – dựa trên 220 đánh giá, áo choàng tắm, bàn làm việc, bồn tắm, dép, giường thoải mái, giấy vệ sinh, hệ thống cách âm, két an toàn, khăn tắm, máy sấy tóc, minibar, nhà vệ sinh, nhìn ra thành phố, phòng deluxe đơn, phòng tắm riêng, ra trải giường, tiệ, tiện nghi:, tv, tv màn hình phẳng, vòi sen, wifi miễn phí, điện thoại, điều hòa không khí, đồ vệ sinh cá nhân miễn phí, ổ điện gần giường"
Booking,Hồ Chí Minh,https://www.booking.com/hotel/vn/tea-amp-pea-house-with-such-a-lovely-garden.vi.html?aid=304142&label=mkt123sc-69b9c027-de7b-4ad3-9ca3-ac3a410a913b&ucfs=1&arphpl=1&checkin=2026-01-10&checkout=2026-01-15&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=10&hapos=280&sr_order=popularity&srpvid=a9cdd2df9f4a88c422489629bcc26803&srepoch=1767619799&all_sr_blocks=1283530101_409199371_2_0_0_827088&highlighted_blocks=1283530101_409199371_2_0_0_827088&matching_block_id=1283530101_409199371_2_0_0_827088&sr_pri_blocks=1283530101_409199371_2_0_0_827088_1066185000&from=searchresults,Tea&Pea - Entire Private House With A Lovely Garden,Biệt Thự 2 Phòng Ngủ,Luxury,Mixed Beds,248.0,2.0,10661850.0,"248 m², ban công, biệt thự 2 phòng ngủ, biệt thự nguyên căn, bàn ghế ngoài trời, bếp, hệ thống cách âm, khu vực ăn uống, kích thước biệt thự: 248 m², lò vi sóng, minibar, nhìn ra thành phố, nhìn ra vườn, nhìn ra địa danh nổi tiếng, phòng ngủ 1: 1 giường đơn  và 1 giường đôi lớn, phòng ngủ 2: 1 giường đôi cực lớn, sân hiên, sân trong, số phòng tắm: 3, tiện nghi bbq, trong nhà bếp riêng của bạn:, tủ lạnh, tv màn hình phẳng, wifi miễn phí, điều hòa không khí, đồ bếp, ấm đun nước điện"
Booking,Hồ Chí Minh,https://www.booking.com/hotel/vn/nha-4brs-5wc-bui-vien-quan-1.vi.html?aid=304142&label=mkt123sc-69b9c027-de7b-4ad3-9ca3-ac3a410a913b&ucfs=1&arphpl=1&checkin=2026-01-10&checkout=2026-01-15&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=9&hapos=329&sr_order=popularity&srpvid=a9cdd2df9f4a88c422489629bcc26803&srepoch=1767619825&all_sr_blocks=1400721801_411927666_2_0_0&highlighted_blocks=1400721801_411927666_2_0_0&matching_block_id=1400721801_411927666_2_0_0&sr_pri_blocks=1400721801_411927666_2_0_0__2039580000&from=searchresults,Nhà 4Brs 5Wc Bùi Viện Quận 1,Biệt Thự,Standard,Double,150.0,2.0,20395800.0,"150 m², a flat-screen tv and a balcon, an electric kettle, ban công, biệt thự, biệt thự nguyên căn, bếp, kích thước biệt thự: 150 m², phòng ngủ 1: 1 giường đôi, phòng ngủ 2: 1 giường đôi lớn, phòng tắm riêng, số phòng tắm: 5, tv màn hình phẳng, wifi miễn phí, điều hòa không khí"
Booking,Hồ Chí Minh,https://www.booking.com/hotel/vn/cherry-blossom-boutique-entire-house-bui-vien.vi.html?aid=304142&label=mkt123sc-69b9c027-de7b-4ad3-9ca3-ac3a410a913b&ucfs=1&arphpl=1&checkin=2026-01-10&checkout=2026-01-15&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=8&hapos=353&sr_order=popularity&srpvid=a9cdd2df9f4a88c422489629bcc26803&srepoch=1767619837&all_sr_blocks=1464310701_417736868_8_0_0&highlighted_blocks=1464310701_417736868_8_0_0&matching_block_id=1464310701_417736868_8_0_0&sr_pri_blocks=1464310701_417736868_8_0_0__2764500000&from=searchresults,Cherry Blossom Boutique Hotel Entire House Bui Vien,Nhà 4 Phòng Ngủ,Standard,Double,150.0,2.0,27645000.0,"150 m², bàn ăn, bếp nhỏ, bồn tắm hoặc vòi sen, khu vực phòng ăn, kích thước nhà: 150 m², lò vi sóng, máy sấy tóc, máy pha trà/cà phê, nhà 4 phòng ngủ, nhà nghỉ dưỡng nguyên căn, nhà vệ sinh, nhìn ra thành phố, nhìn ra địa danh nổi tiếng, phòng ngủ 1: 1 giường đôi lớn, phòng ngủ 2: 1 giường đôi lớn, sân hiên, số phòng tắm: 4, t, trong gian bếp riêng của bạn:, trong phòng tắm:, tủ lạnh, tv màn hình phẳng, wifi miễn phí, điều hòa không khí, đồ vệ sinh cá nhân miễn phí, ấm đun nước điện"
Booking,Hồ Chí Minh,https://www.booking.com/hotel/vn/ben-thanh-maison-quan-1.vi.html?aid=304142&label=mkt123sc-69b9c027-de7b-4ad3-9ca3-ac3a410a913b&ucfs=1&arphpl=1&checkin=2026-01-10&checkout=2026-01-15&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=12&hapos=508&sr_order=popularity&srpvid=a9cdd2df9f4a88c422489629bcc26803&srepoch=1767619916&all_sr_blocks=1510961401_423980857_7_0_0&highlighted_blocks=1510961401_423980857_7_0_0&matching_block_id=1510961401_423980857_7_0_0&sr_pri_blocks=1510961401_423980857_7_0_0__3400000000&from=searchresults,Ben Thanh Maison,Căn Hộ 3 Phòng Ngủ,Suite,Mixed Beds,140.0,2.0,34000000.0,"10 – dựa trên 1 đánh giá, 140 m², 3 separate bedrooms and 3 bathrooms with a walk-in showe, ban công, bếp, căn hộ 3 phòng ngủ, căn hộ nguyên căn, giường thoải mái, hệ thống cách âm, kích thước căn hộ 140 m², nhìn ra thành phố, phòng khách: 1 giường sofa, phòng ngủ 1: 1 giường đôi lớn, phòng ngủ 2: 1 giường đôi lớn, phòng ngủ 3: 1 giường đôi lớn, phòng tắm riêng, sân hiên, số phòng tắm: 3, this spacious apartment is comprised of 1 living room, tv màn hình phẳng, wifi miễn phí, điều hòa không khí"
Booking,Hồ Chí Minh,https://www.booking.com/hotel/vn/central-garden-penhouse-duplex-3brs-4bed-4wc-d1.vi.html?aid=304142&label=mkt123sc-69b9c027-de7b-4ad3-9ca3-ac3a410a913b&ucfs=1&arphpl=1&checkin=2026-01-10&checkout=2026-01-15&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=2&hapos=523&sr_order=popularity&srpvid=a9cdd2df9f4a88c422489629bcc26803&srepoch=1767619929&all_sr_blocks=1511128401_422867176_8_0_0&highlighted_blocks=1511128401_422867176_8_0_0&matching_block_id=1511128401_422867176_8_0_0&sr_pri_blocks=1511128401_422867176_8_0_0__2063838100&from=searchresults,Central Garden Penhouse Duplex 3Brs 4Bed 4Wc D1,Căn Hộ 3 Phòng Ngủ,Suite,Double,300.0,2.0,20638381.0,"300 m², bàn ủi, bàn ăn, bếp, bếp nấu, các tầng trên đi lên bằng thang máy, căn hộ 3 phòng ngủ, dép, ghế sofa, giấy vệ sinh, kích thước căn hộ 300 m², máy sấy tóc, nhà vệ sinh, nhìn ra thành phố, phòng ngủ 1: 1 giường đôi, phòng ngủ 2: 2 giường đôi lớn, quạt m, số phòng tắm: 4, tiện nghi căn hộ: ​, toilet chung, trong nhà bếp riêng của bạn:, trong phòng tắm:, tủ lạnh, tv màn hình phẳng, vòi sen, wifi miễn phí, ấm đun nước điện"
Booking,Hồ Chí Minh,https://www.booking.com/hotel/vn/son-amp-henry-zenity-district-1.vi.html?aid=304142&label=mkt123sc-69b9c027-de7b-4ad3-9ca3-ac3a410a913b&ucfs=1&arphpl=1&checkin=2026-01-10&checkout=2026-01-15&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=13&hapos=584&sr_order=popularity&srpvid=a9cdd2df9f4a88c422489629bcc26803&srepoch=1767619955&all_sr_blocks=1118389108_420179275_3_0_0&highlighted_blocks=1118389108_420179275_3_0_0&matching_block_id=1118389108_420179275_3_0_0&sr_pri_blocks=1118389108_420179275_3_0_0__4472000000&from=searchresults,Son&Henry Zenity District 1,Căn Hộ Áp Mái,Suite,Mixed Beds,145.0,2.0,44720000.0,"145 m², 8.8 – dựa trên 87 đánh giá, ban công, bếp, căn hộ nguyên căn, căn hộ áp mái, giường thoải mái, kích thước căn hộ 145 m², minibar, máy pha tr, nhìn ra sông, nhìn ra thành phố, nhìn ra vườn, nhìn ra địa danh nổi tiếng, phòng ngủ 2: 1 giường đôi lớn, phòng ngủ 3: 2 giường đơn, phòng tắm riêng, sân hiên, số phòng tắm: 4, tiện nghi bbq, trong nhà bếp riêng của bạn:, tủ lạnh, tv màn hình phẳng, wifi miễn phí, điều hòa không khí"
Booking,Hồ Chí Minh,https://www.booking.com/hotel/vn/unique-luxury-apartment-district-1-central-city.vi.html?aid=304142&label=mkt123sc-69b9c027-de7b-4ad3-9ca3-ac3a410a913b&ucfs=1&arphpl=1&checkin=2026-01-10&checkout=2026-01-15&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=17&hapos=738&sr_order=popularity&srpvid=a9cdd2df9f4a88c422489629bcc26803&srepoch=1767620037&all_sr_blocks=1519852201_423979009_6_0_0&highlighted_blocks=1519852201_423979009_6_0_0&matching_block_id=1519852201_423979009_6_0_0&sr_pri_blocks=1519852201_423979009_6_0_0__1500000000&from=searchresults,Unique Luxury Apartment -District 1 Central City,Căn Hộ,Standard,Mixed Beds,130.0,2.0,15000000.0,"130 m², 7.5 – dựa trên 1 đánh giá, ban công, bếp, căn hộ, căn hộ nguyên căn, giường thoải mái, kích thước căn hộ 130 m², lò vi sóng, nhìn ra hồ, nhìn ra sông, nhìn ra thành phố, nhìn ra địa danh nổi tiếng, phòng ngủ 1: 1 giường đôi lớn, phòng ngủ 2: 1 giường đôi lớn, phòng ngủ 3: 1 giường đôi lớn, phòng ngủ 4: 1 giường sofa  và 1 giường đôi lớn, phòng tắm riêng, sân hiên, số phòng tắm: 2, trong nhà bếp riêng của bạn:, tủ lạnh, tv màn hình phẳng, wifi miễn phí, điều hòa không khí, đồ bếp, ấ"
Booking,Hồ Chí Minh,https://www.booking.com/hotel/vn/norfolk-mansion.vi.html?aid=304142&label=mkt123sc-dab0d3fc-5dd0-4d73-a24b-d9f513d1d3a4&ucfs=1&arphpl=1&checkin=2026-01-10&checkout=2026-01-15&group_adults=3&req_adults=3&no_rooms=2&group_children=2&req_children=2&age=4&req_age=4&age=0&req_age=0&hpos=20&hapos=78&sr_order=popularity&srpvid=be66eb8a4ba4e3fa75dedf00c5ed3ff7&srepoch=1767620219&all_sr_blocks=26521627_413330386_0_2_0&highlighted_blocks=26521627_413330386_0_2_0&matching_block_id=26521627_413330386_0_2_0&sr_pri_blocks=26521627_413330386_0_2_0__5009180000&from=searchresults,Norfolk Mansion - Luxury Serviced Apartment,Căn Hộ 3 Phòng Ngủ,Suite,Unknown,130.0,5.0,50091800.0,"130 m², áo choàng tắm, ban công, bàn ăn, bếp nhỏ, bồn tắm, bếp nấu, có sẵn 1 giường phụ tùy theo yêu cầu. xem thêm chi tiết, căn hộ 3 phòng ngủ, căn hộ nguyên căn, dép, khu vực phòng ăn, kích thước căn hộ 130 m², lò vi sóng, lò nướng, máy sấy, minibar, nhà vệ sinh, nhìn ra thành phố, phòng tắm riêng, số phòng tắm: 2, trong gian bếp riêng của bạn:, tủ lạnh, tv màn hình phẳng, vòi sen, wifi miễn phí, điều hòa không khí, đồ bếp, đồ vệ sinh cá nhân miễn phí, ấm đun nước điện"
