scenario,search_location,hotel_name,stars_clean,district,address,room_class,room_type,bed_class,bed_type,rooms,final_price,original_price,discount_percent,rating_clean,review_count,location_clean,distance_km,free_cancel_bool,breakfast_bool,badge_clean,adults,children,total_guests,check_in
Random_3A_0C_1R,Ho Chi Minh,*BOM HOMES* VINHOMES CENTRAL PARK- LUXURY APARTMENT,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,"2 giường (1 giường đôi rất lớn, 1 giường sofa)",1,1350000,1350000,0,1.2,4,,3,0,0,No Deal,3,0,3,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,*BOM HOMES* VINHOMES CENTRAL PARK- LUXURY APARTMENT,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (1 giường đôi rất lớn, 1 giường sofa, 1 giường đôi lớn)",2,1710000,1710000,0,1.2,4,,3,0,0,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Ho Chi Minh,*BOM HOMES* VINHOMES CENTRAL PARK- LUXURY APARTMENT,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"4 giường (2 giường đôi rất lớn, 1 giường sofa, 1 giường đôi lớn)",3,2520000,2520000,0,1.2,4,,3,0,0,No Deal,6,0,6,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,*BOM HOMES* VINHOMES CENTRAL PARK- LUXURY APARTMENT,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,"2 giường (1 giường đôi rất lớn, 1 giường sofa)",4,3060000,3060000,0,1.2,4,,3,0,0,No Deal,6,1,7,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,1 Phòng ngủ Vinhome Cetral Park,0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,2 giường đôi lớn,1,4000000,4000000,0,1,1,,3,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Vung Tau,1103 - Tháp Tam Thắng Vũng Tàu,4,Vung Tau,Vũng Tàu,Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"6 giường (2 giường đôi rất lớn, 4 nệm futon)",2,720000,720000,0,4,2,,1.5,0,1,No Deal,5,0,5,12/23/2025
Random_6A_1C_4R_Ages(7),Vung Tau,"12 Trần Phú, Bãi Trước",0,Vung Tau,Vũng Tàu,Presidential/Suite,Biệt Thự Có Hồ Bơi Riêng,Double/Large,"9 giường (7 giường đôi rất lớn, 2 giường sofa)",4,10000000,10000000,0,,,,2.2,0,0,No Deal,6,1,7,12/23/2025
Random_1A_0C_1R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ Studio,Double/Large,"2 giường (1 giường đôi rất lớn, 1 nệm futon)",1,1129950,1129950,0,5.7,30,,1.3,0,0,No Deal,1,0,1,12/23/2025
Random_2A_0C_1R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ Studio,Double/Large,"2 giường (1 giường đôi rất lớn, 1 nệm futon)",1,1255500,1255500,0,5.7,30,,1.3,0,0,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ Studio,Double/Large,"2 giường (1 giường đôi rất lớn, 1 nệm futon)",1,1743750,1743750,0,5.7,30,,1.3,0,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",1,2250000,2250000,0,5.7,30,,1.3,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",2,2700000,2700000,0,5.7,30,,1.3,0,0,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,"3 giường (2 giường đôi rất lớn, 1 nệm futon)",3,3037500,3037500,0,5.7,30,,1.3,0,0,No Deal,6,0,6,12/23/2025
Random_6A_1C_4R_Ages(7),Ho Chi Minh,123 Apartment - RiverGate Residence,2,Quận 1,"Quận 1, TP. Hồ Chí Minh (Bach Dang Riverside)",Family/Large,Căn Hộ 3 Phòng Ngủ,Double/Large,"5 giường (2 giường đôi rất lớn, 1 giường đôi lớn, 2 nệm futon)",4,4036500,4036500,0,5.7,30,,1.3,0,0,No Deal,6,1,7,12/23/2025
