hotel_name,hotel_url,detail_url,name_detail,phone,ratingValue,reviewCount,priceRange,address,amenities,room_types
Sedona Suites Ho Chi Minh City,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d301919-Reviews-Sedona_Suites_Ho_Chi_Minh_City-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d301919-Reviews-Sedona_Suites_Ho_Chi_Minh_City-Ho_Chi_Minh_City.html,Sedona Suites Ho Chi Minh City,,4.9,397.0,3.763.158 ₫ - 11.578.947 ₫,"67 Le Loi Boulevard Saigon Center, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bãi đỗ xe riêng trả phí trong khuôn viên, Bể bơi, Giường siêu dài, Internet tốc độ miễn phí (WiFi), Màn che ánh sáng, Máy pha cà phê / trà, Mạng truyền hình dành cho trẻ em, Ngắm cảnh thành phố, Nhìn ra bể bơi, Nhìn ra tòa nhà, Phòng không hút thuốc, Phòng Suite, Phòng cho gia đình, Phòng chơi game, Phòng cách âm, Phòng tắm phụ, Quầy bar / sảnh chờ, Sân chơi cho trẻ em, Trung tâm thể dục thẩm mỹ, Truyền hình cáp / truyền hình vệ tinh, Vòi rửa vệ sinh, Điều hòa nhiệt độ","Ngắm cảnh, Phòng cách âm, Suite, Thành phố, bếp nhỏ"
1. Khách sạn Sài Gòn Prince,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d306204-Reviews-Saigon_Prince_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d306204-Reviews-Saigon_Prince_Hotel-Ho_Chi_Minh_City.html,Khách sạn Sài Gòn Prince,,4.0,1748.0,2.105.263 ₫ - 5.894.737 ₫,"63 Nguyễn Huệ District 1, Thành phố Hồ Chí Minh, 70000, Việt Nam",,"Thành phố, công tác"
2. Sotetsu Grand Fresa Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26368813-Reviews-Sotetsu_Grand_Fresa_Saigon-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26368813-Reviews-Sotetsu_Grand_Fresa_Saigon-Ho_Chi_Minh_City.html,Sotetsu Grand Fresa Saigon,,4.9,273.0,2.210.526 ₫ - 3.894.737 ₫,"8 Ly Tu Trong Sai Gon Ward, District 1, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bàn làm việc, Bãi đỗ xe riêng trả phí trong khuôn viên, Bảo vệ 24 giờ, Bể bơi, Dịch vụ taxi, Dọn phòng, Internet tốc độ miễn phí (WiFi), Màn che ánh sáng, Ngắm cảnh thành phố, Nhà hàng, Phòng không hút thuốc, Phòng cách âm, Phòng họp, Trung tâm thể dục thẩm mỹ, Truyền hình cáp / truyền hình vệ tinh, Tủ lạnh, Vòi rửa vệ sinh, Điều hòa nhiệt độ","Công tác, Hạng trung, Ngắm cảnh, Phòng cách âm, Thành phố"
3. The Myst Dong Khoi,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d11928570-Reviews-The_Myst_Dong_Khoi-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d11928570-Reviews-The_Myst_Dong_Khoi-Ho_Chi_Minh_City.html,The Myst Dong Khoi,2835203040.0,4.7,2451.0,4.552.632 ₫ - 11.789.474 ₫,"6–8 Hồ Huấn Nghiệp Phường Sài Gòn, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
4. Hotel Nikko Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2244762-Reviews-Hotel_Nikko_Saigon-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2244762-Reviews-Hotel_Nikko_Saigon-Ho_Chi_Minh_City.html,Hotel Nikko Saigon,,4.7,5008.0,3.526.316 ₫ - 7.210.526 ₫,"235 Nguyen Van Cu St. Nowzone Fashion Mall, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bàn làm việc, Bãi đỗ xe miễn phí, Bồn tắm / vòi sen, Bồn tắm nước nóng, Có phòng hút thuốc, Dịch vụ phòng, Dọn phòng, Internet tốc độ miễn phí (WiFi), Máy pha cà phê / trà, Ngắm cảnh thành phố, Phòng không hút thuốc, Phòng Suite, Phòng cho gia đình, Quầy bar / sảnh chờ, TV màn hình phẳng, Trung tâm thương mại có truy cập Internet, Trung tâm thể dục thẩm mỹ, Trẻ em lưu trú miễn phí, Xe đưa đón sân bay, Áo choàng tắm, Điều hòa nhiệt độ","Ngắm cảnh, Suite, Thành phố"
5. Harmony Saigon Hotel & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1738730-Reviews-Harmony_Saigon_Hotel_Spa-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1738730-Reviews-Harmony_Saigon_Hotel_Spa-Ho_Chi_Minh_City.html,Harmony Saigon Hotel & Spa,,4.4,1602.0,1.973.684 ₫ - 3.500.000 ₫,"32A-34 Bui Thi Xuan St Ben Thanh Ward, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bàn làm việc, Bãi đỗ xe miễn phí, Bữa sáng miễn phí, Bể bơi, Bồn tắm / vòi sen, Có ghế ăn cho bé, Dọn phòng, Internet tốc độ miễn phí (WiFi), Khu ăn uống, Ngắm cảnh thành phố, Nhìn ra tòa nhà, Phòng không hút thuốc, Phòng Suite, Phòng cho gia đình, Quầy bar mini, Trung tâm thương mại có truy cập Internet, Trung tâm thể dục thẩm mỹ, Truyền hình cáp / truyền hình vệ tinh, Xe đưa đón sân bay, Áo choàng tắm, Điều hòa nhiệt độ","Hạng trung, Ngắm cảnh, Suite, Thành phố"
Icon Saigon - LifeStyle Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19502020-Reviews-Icon_Saigon_LifeStyle_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19502020-Reviews-Icon_Saigon_LifeStyle_Hotel-Ho_Chi_Minh_City.html,Icon Saigon - LifeStyle Hotel,,4.5,147.0,1.921.053 ₫ - 3.263.158 ₫,"65-67 Hai Ba Trung St Ben Nghe, District 1, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bữa sáng miễn phí, Bảo vệ 24 giờ, Bể bơi, Dịch vụ phòng, Dọn phòng, Internet tốc độ miễn phí (WiFi), Phòng không hút thuốc, Phòng Suite, Phòng họp, Quầy bar mini, Sân thượng, Trung tâm thể dục thẩm mỹ, Xe đưa đón sân bay, Điều hòa nhiệt độ","Hạng trung, Suite, Thành phố"
6. Liberty Central Saigon Citypoint Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d6930018-Reviews-Liberty_Central_Saigon_Citypoint_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d6930018-Reviews-Liberty_Central_Saigon_Citypoint_Hotel-Ho_Chi_Minh_City.html,Liberty Central Saigon Citypoint Hotel,,4.6,3356.0,2.184.211 ₫ - 7.763.158 ₫,"59 - 61 Pasteur, Q.1 Saigon Ward, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bàn làm việc, Bãi đỗ xe miễn phí, Bể bơi, Câu lạc bộ đêm / DJ, Dịch vụ phòng, Dọn phòng, Internet tốc độ miễn phí (WiFi), Máy sấy tóc, Ngắm cảnh thành phố, Phòng không hút thuốc, Phòng Suite, Quầy bar / sảnh chờ, Quầy bar mini, TV màn hình phẳng, Trung tâm thương mại có truy cập Internet, Trung tâm thể dục thẩm mỹ, Xe đưa đón sân bay, Điều hòa nhiệt độ, Đồ dùng nhà tắm miễn phí","Ngắm cảnh, Suite, Thành phố"
"7. Vinpearl Landmark 81, Autograph Collection",https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16783440-Reviews-Vinpearl_Landmark_81_Autograph_Collection-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16783440-Reviews-Vinpearl_Landmark_81_Autograph_Collection-Ho_Chi_Minh_City.html,"Vinpearl Landmark 81, Autograph Collection",,4.9,1232.0,5.552.632 ₫ - 11.289.474 ₫,"720a Dien Bien Phu Landmark 81, Thành phố Hồ Chí Minh, 700000, Việt Nam",,"Ngắm cảnh, Thành phố"
8. Holiday Inn & Suites Saigon Airport By IHG,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15808714-Reviews-Holiday_Inn_Suites_Saigon_Airport_By_IHG-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15808714-Reviews-Holiday_Inn_Suites_Saigon_Airport_By_IHG-Ho_Chi_Minh_City.html,Holiday Inn & Suites Saigon Airport By IHG,120852336.0,4.9,801.0,2.447.368 ₫ - 4.131.579 ₫,"18E Cộng Hòa Tan Son Nhat Ward, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bowling ngoài khuôn viên, Bàn làm việc, Bãi đỗ xe miễn phí, Bể bơi, Giường sofa, Internet tốc độ miễn phí (WiFi), Màn che ánh sáng, Máy pha cà phê / trà, Ngắm cảnh thành phố, Nhìn ra bể bơi, Phòng không hút thuốc, Phòng Suite, Phòng cho gia đình, Phòng cách âm, Phòng cô dâu, Quầy bar / sảnh chờ, Sân quần vợt ngoài khuôn viên, Trung tâm thể dục thẩm mỹ, Truyền hình cáp / truyền hình vệ tinh, Trẻ em lưu trú miễn phí, Vòi rửa vệ sinh, Điều hòa nhiệt độ","Công tác, Ngắm cảnh, Phòng cách âm, Suite, Thành phố"
