hotel_name,hotel_url,detail_url,name_detail,phone,ratingValue,reviewCount,priceRange,address,amenities,room_types
920. Vera Apartments,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23212035-Reviews-Vera_Apartments-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23212035-Reviews-Vera_Apartments-Ho_Chi_Minh_City.html,Vera Apartments,,5.0,3.0,,"208 Nguyen Huu Canh Ward 22 Landmark 81, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bàn làm việc, Bãi đỗ xe riêng trả phí trong khuôn viên, Bếp nhỏ, Bảo vệ 24 giờ, Bể bơi, Giường siêu dài, Internet tốc độ miễn phí (WiFi), Màn che ánh sáng, Máy bán hàng tự động, Ngắm cảnh thành phố, Nhìn ra bể bơi, Nhìn ra tòa nhà, Phòng không hút thuốc, Phòng Suite, Phòng cho gia đình, Phòng không gây dị ứng, Phòng tập yoga, Spa, Trung tâm thương mại có truy cập Internet, Truyền hình cáp / truyền hình vệ tinh, Vòi rửa vệ sinh, Điều hòa nhiệt độ","Ngắm cảnh, Suite, Thành phố"
363. Lanura Saigon Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d28135423-Reviews-Lanura_Saigon_Boutique_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d28135423-Reviews-Lanura_Saigon_Boutique_Hotel-Ho_Chi_Minh_City.html,Lanura Saigon Boutique Hotel,,5.0,1.0,421.053 ₫ - 684.211 ₫,"No. 99/18-18A , Nguyen Thai Binh Street Ward 4, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
361. EL Where Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d33263957-Reviews-EL_Where_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d33263957-Reviews-EL_Where_Hotel-Ho_Chi_Minh_City.html,EL Where Hotel,,5.0,4.0,815.789 ₫ - 1.289.474 ₫,"345/43 Đường Trần Hưng Đạo District 1, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
560. Sabina Boutique Hotel 3,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26443741-Reviews-Sabina_Boutique_Hotel_3-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26443741-Reviews-Sabina_Boutique_Hotel_3-Ho_Chi_Minh_City.html,Sabina Boutique Hotel 3,,5.0,1.0,605.263 ₫ - 1.842.105 ₫,"2 Duong Phan Khiem Ich 2-4 Hung Gia 1 Town, Tan Phong Ward, District 7, Thành phố Hồ Chí Minh, Việt Nam",,Thành phố
61. CityHouse - Atelier Thao Dien,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19797910-Reviews-CityHouse_Atelier_Thao_Dien-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19797910-Reviews-CityHouse_Atelier_Thao_Dien-Ho_Chi_Minh_City.html,CityHouse - Atelier Thao Dien,878253545.0,5.0,16.0,1.210.526 ₫ - 2.578.947 ₫,"45 Nguyen Duy Hieu Thao Dien, District 2, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bàn làm việc, Bãi đỗ xe miễn phí, Bếp nhỏ, Bảo vệ 24 giờ, Bể bơi ngoài trời, Internet tốc độ miễn phí (WiFi), Khu ăn uống, Khu để hành lý, Màn che ánh sáng, Ngắm cảnh thành phố, Nhà hàng, Nhận phòng 24 giờ, Phòng Suite, Phòng cho gia đình, Phòng cách âm, TV màn hình phẳng, Trung tâm thể dục thẩm mỹ, Vòi rửa vệ sinh, Điều hòa nhiệt độ","Ngắm cảnh, Phòng cách âm, Suite, Thành phố"
352. Airie Living,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d28007541-Reviews-Airie_Living-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d28007541-Reviews-Airie_Living-Ho_Chi_Minh_City.html,Airie Living,,5.0,3.0,921.053 ₫ - 1.552.632 ₫,"100/14 Nguyen Dinh Chieu Street, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
355. Stellar Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d24987824-Reviews-Stellar_Boutique_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d24987824-Reviews-Stellar_Boutique_Hotel-Ho_Chi_Minh_City.html,Stellar Boutique Hotel,,5.0,8.0,710.526 ₫ - 1.263.158 ₫,"15-17 Cao Triều Phát Tân Phong Ward, District 7, Thành phố Hồ Chí Minh, Việt Nam",,"Hạng trung, Thành phố"
372. The Rice 131 Bui Vien Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d29185224-Reviews-The_Rice_131_Bui_Vien_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d29185224-Reviews-The_Rice_131_Bui_Vien_Hotel-Ho_Chi_Minh_City.html,The Rice 131 Bui Vien Hotel,,5.0,7.0,421.053 ₫ - 710.526 ₫,"131 Bùi Viện Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bàn làm việc, Bảo vệ 24 giờ, Bồn tắm / vòi sen, Dọn phòng, Giặt khô, Internet tốc độ miễn phí (WiFi), Khu để hành lý, Ngắm cảnh thành phố, Nhận phòng / trả phòng nhanh, Phòng không hút thuốc, Phòng Suite, Phòng cho gia đình, Quầy bar / sảnh chờ, TV màn hình phẳng, Tiếp tân 24 giờ, Tủ quần áo / tủ để đồ, Xe đưa đón sân bay, Điều hòa nhiệt độ, Điện thoại, Đồ dùng nhà tắm miễn phí","Ngắm cảnh, Suite, Thành phố"
318. M Village Hotel Nguyễn Du,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d32985738-Reviews-M_Village_Hotel_Nguy_n_Du-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d32985738-Reviews-M_Village_Hotel_Nguy_n_Du-Ho_Chi_Minh_City.html,M Village Hotel Nguyễn Du,,5.0,24.0,1.947.368 ₫ - 5.105.263 ₫,"149-151 Đường Nguyễn Du District 1, Thành phố Hồ Chí Minh, 70000, Việt Nam",,"Hạng trung, Thành phố"
321. The Common Room Project,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d27804093-Reviews-The_Common_Room_Project-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d27804093-Reviews-The_Common_Room_Project-Ho_Chi_Minh_City.html,The Common Room Project,,5.0,2.0,842.105 ₫ - 2.000.000 ₫,"250 D. Bui Vien Pham Ngu Lao Ward, District 1, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
