final_name,detail_url,_parse_status,ratingValue,reviewCount,price_min,price_max,price_avg,streetAddress,addressLocality,addressCountry,lat,lng,amenities
Hotel Indigo Saigon the City by IHG,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26848304-Reviews-Hotel_Indigo_Saigon_the_City_by_IHG-Ho_Chi_Minh_City.html,blocked,0.0,0.0,,,,,,Việt Nam,0.0,0.0,
La Vela Saigon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d20411635-Reviews-La_Vela_Saigon_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.8,2164.0,2684211.0,8342105.0,5513158.0,280 Nam Ky Khoi Nghia,Thành phố Hồ Chí Minh,Việt Nam,10.788694,106.68536,
Au Lac Charner Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15113167-Reviews-Au_Lac_Charner_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.8,4120.0,2368421.0,3973684.0,3171052.5,87-89-91 Hồ Tùng Mậu Street,Thành phố Hồ Chí Minh,Việt Nam,10.772157,106.70363,
Khách sạn Windsor Plaza,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d505784-Reviews-Windsor_Plaza_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.2,1375.0,1868421.0,2447368.0,2157894.5,18 An Dương Vương Quận 5,Thành phố Hồ Chí Minh,Việt Nam,10.75786,106.673355,
Hotel Majestic Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d302780-Reviews-Hotel_Majestic_Saigon-Ho_Chi_Minh_City.html,ok_jsonld,4.2,3928.0,3421053.0,6947368.0,5184210.5,"1 Dong Khoi Street, Ben Nghe Ward, District 1",Thành phố Hồ Chí Minh,Việt Nam,10.772795,106.706184,
Lotte Hotel Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d306225-Reviews-Lotte_Hotel_Saigon-Ho_Chi_Minh_City.html,ok_jsonld,4.7,3459.0,3605263.0,9657895.0,6631579.0,2A - 4A Ton Duc Thang St,Thành phố Hồ Chí Minh,Việt Nam,10.778639,106.706825,
Mai House Saigon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16811734-Reviews-Mai_House_Saigon_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.8,921.0,3315789.0,8526316.0,5921052.5,"157 Nam Ky Khoi Nghia St, Xuan Hoa Ward",Thành phố Hồ Chí Minh,Việt Nam,10.782093,106.69158,
Fusion Original Saigon Centre,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d24147557-Reviews-Fusion_Original_Saigon_Centre-Ho_Chi_Minh_City.html,ok_jsonld,4.7,187.0,3631579.0,7210526.0,5421052.5,65 Le Loi Street District 1,Thành phố Hồ Chí Minh,Việt Nam,10.773565,106.70123,
Muong Thanh Luxury Sai Gon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21132746-Reviews-Muong_Thanh_Luxury_Sai_Gon-Ho_Chi_Minh_City.html,ok_jsonld,4.6,157.0,1473684.0,3631579.0,2552631.5,"261C Nguyễn Văn Trỗi Phường 10, Phú Nhuận",Thành phố Hồ Chí Minh,Việt Nam,10.797232,106.67202,
The Reverie Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d7319538-Reviews-The_Reverie_Saigon-Ho_Chi_Minh_City.html,ok_jsonld,4.8,1872.0,6500000.0,13184211.0,9842105.5,22-36 Nguyễn Huệ 57 - 69F Đồng Khởi,Thành phố Hồ Chí Minh,Việt Nam,10.773942,106.70474,
