hotel_name,hotel_url,rating,reviews,price_vnd
Hotel Indigo Saigon the City by IHG,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26848304-Reviews-Hotel_Indigo_Saigon_the_City_by_IHG-Ho_Chi_Minh_City.html,,187,
La Vela Saigon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d20411635-Reviews-La_Vela_Saigon_Hotel-Ho_Chi_Minh_City.html,,2164,
Au Lac Charner Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15113167-Reviews-Au_Lac_Charner_Hotel-Ho_Chi_Minh_City.html,,4120,
Khách sạn Windsor Plaza,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d505784-Reviews-Windsor_Plaza_Hotel-Ho_Chi_Minh_City.html,,1375,
Hotel Majestic Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d302780-Reviews-Hotel_Majestic_Saigon-Ho_Chi_Minh_City.html,,3928,
Lotte Hotel Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d306225-Reviews-Lotte_Hotel_Saigon-Ho_Chi_Minh_City.html,,3459,
Mai House Saigon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16811734-Reviews-Mai_House_Saigon_Hotel-Ho_Chi_Minh_City.html,,921,
Fusion Original Saigon Centre,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d24147557-Reviews-Fusion_Original_Saigon_Centre-Ho_Chi_Minh_City.html,,187,
Muong Thanh Luxury Sai Gon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21132746-Reviews-Muong_Thanh_Luxury_Sai_Gon-Ho_Chi_Minh_City.html,,157,
The Reverie Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d7319538-Reviews-The_Reverie_Saigon-Ho_Chi_Minh_City.html,,1872,
La Siesta Premium Saigon Central,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d28236340-Reviews-La_Siesta_Premium_Saigon_Central-Ho_Chi_Minh_City.html,,374,
Hotel Nikko Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2244762-Reviews-Hotel_Nikko_Saigon-Ho_Chi_Minh_City.html,,5005,
Orchids Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15182496-Reviews-Orchids_Hotel-Ho_Chi_Minh_City.html,,529,
Liberty Central Saigon Centre,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1656786-Reviews-Liberty_Central_Saigon_Centre-Ho_Chi_Minh_City.html,,2260,
ibis Saigon Airport,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d11666041-Reviews-Ibis_Saigon_Airport-Ho_Chi_Minh_City.html,,974,
T-Ritz Saigon Hotel & Apartment,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d14758801-Reviews-T_Ritz_Saigon_Hotel_Apartment-Ho_Chi_Minh_City.html,,234,
Mia Saigon Luxury Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d17511872-Reviews-Mia_Saigon_Luxury_Boutique_Hotel-Ho_Chi_Minh_City.html,,395,
Bay Hotel Ho Chi Minh,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d10030342-Reviews-Bay_Hotel_Ho_Chi_Minh-Ho_Chi_Minh_City.html,,1084,
Khách sạn Sài Gòn Prince,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d306204-Reviews-Saigon_Prince_Hotel-Ho_Chi_Minh_City.html,,1748,
EMM Hotel Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d5960339-Reviews-EMM_Hotel_Saigon-Ho_Chi_Minh_City.html,,469,
The Odys Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3561871-Reviews-The_Odys_Boutique_Hotel-Ho_Chi_Minh_City.html,,166,
"Vinpearl Landmark 81, Autograph Collection",https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16783440-Reviews-Vinpearl_Landmark_81_Autograph_Collection-Ho_Chi_Minh_City.html,,1228,
Wink Hotel Saigon Centre,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21499770-Reviews-Wink_Hotel_Saigon_Centre-Ho_Chi_Minh_City.html,,519,
Signature By M Village Le Thanh Ton,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26506936-Reviews-Signature_By_M_Village_Le_Thanh_Ton-Ho_Chi_Minh_City.html,,648,
Khách sạn Rex,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d302836-Reviews-Rex_Hotel-Ho_Chi_Minh_City.html,,3194,
Liberty Central Saigon Citypoint Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d6930018-Reviews-Liberty_Central_Saigon_Citypoint_Hotel-Ho_Chi_Minh_City.html,,3356,
M City Hotel Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26145541-Reviews-M_City_Hotel_Saigon-Ho_Chi_Minh_City.html,,147,
Fusion Suites Sài Gòn,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d10151324-Reviews-Fusion_Suites_Saigon-Ho_Chi_Minh_City.html,,949,
Icon Saigon - LifeStyle Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19502020-Reviews-Icon_Saigon_LifeStyle_Hotel-Ho_Chi_Minh_City.html,,147,
Sotetsu Grand Fresa Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26368813-Reviews-Sotetsu_Grand_Fresa_Saigon-Ho_Chi_Minh_City.html,,271,
Little Saigon Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2463254-Reviews-Little_Saigon_Boutique_Hotel-Ho_Chi_Minh_City.html,,1263,
Khách sạn Renaissance Sài Gòn Riverside,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d299783-Reviews-Renaissance_Riverside_Hotel_Saigon-Ho_Chi_Minh_City.html,,4650,
"RIHGA Royal Hotel Osaka, Vignette Collection",https://www.tripadvisor.com.vn/Hotel_Review-g298566-d302408-Reviews-RIHGA_Royal_Hotel_Osaka_Vignette_Collection-Osaka_Osaka_Prefecture_Kinki.html,,,
Avani+ Riverside Bangkok Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293916-d8822150-Reviews-Avani_Riverside_Bangkok_Hotel-Bangkok.html,,,
Khách sạn Rex Quảng Bình,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d23618700-Reviews-Rex_Quang_Binh_Hotel-Dong_Hoi_Quang_Binh_Province.html,,,
Yuki Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d18444608-Reviews-Yuki_Homestay-Da_Lat_Lam_Dong_Province.html,,,
Green River Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303946-d15522332-Reviews-Green_River_Boutique_Hotel-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,
Khách Sạn Lầu 7,https://www.tripadvisor.com.vn/Hotel_Review-g293928-d6717507-Reviews-Lau_7_Hotel-Nha_Trang_Khanh_Hoa_Province.html,,,
Lotusama Hanoi Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g27501570-d14770771-Reviews-Lotusama_Hanoi_Hotel-Hoan_Kiem_Hanoi.html,,,
Trăng Quê Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d8262167-Reviews-Countryside_Moon_Homestay-Hoi_An_Quang_Nam_Province.html,,,
Trump International Hotel Las Vegas,https://www.tripadvisor.com.vn/Hotel_Review-g45963-d1022061-Reviews-Trump_International_Hotel_Las_Vegas-Las_Vegas_Nevada.html,,,
Nguyen Ha Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303946-d8570556-Reviews-Nguyen_Ha_Hotel-Vung_Tau_Ba_Ria_Vung_Tau_Province.html,,,
Avari Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293928-d27943758-Reviews-Avari_Hotel-Nha_Trang_Khanh_Hoa_Province.html,,,
Minawa Kenhga Resort & Spa Ninh Binh,https://www.tripadvisor.com.vn/Hotel_Review-g3814836-d25551038-Reviews-Minawa_Kenhga_Resort_Spa_Ninh_Binh-Gia_Thinh_Ninh_Binh_Province.html,,,
Homestay BONO Mui Ne,https://www.tripadvisor.com.vn/Hotel_Review-g298086-d19763458-Reviews-Homestay_BONO_Mui_Ne-Phan_Thiet_Binh_Thuan_Province.html,,,
Phuong Chi Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d12448497-Reviews-Phuong_Chi_Hotel-Sapa_Lao_Cai_Province.html,,,
Blue Tropical House Hội An,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d32652371-Reviews-Blue_Tropical_House_H_i_An-Hoi_An_Quang_Nam_Province.html,,,
Eden Star Saigon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3673303-Reviews-Eden_Star_Saigon_Hotel-Ho_Chi_Minh_City.html,,2297,
Silverland Mây Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26244341-Reviews-Silverland_May_Hotel-Ho_Chi_Minh_City.html,,1189,
New World Saigon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d302784-Reviews-New_World_Saigon_Hotel-Ho_Chi_Minh_City.html,,4256,
Hotel Grand Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d302751-Reviews-Hotel_Grand_Saigon-Ho_Chi_Minh_City.html,,2975,
The Myst Dong Khoi,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d11928570-Reviews-The_Myst_Dong_Khoi-Ho_Chi_Minh_City.html,,2449,
Khách Sạn Mường Thanh Grand Sài Gòn Centre,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d8837110-Reviews-Muong_Thanh_Grand_Saigon_Centre_Hotel-Ho_Chi_Minh_City.html,,668,
