link,ten,gia_niem_yet,discount,gia_hien_tai,dia_chi,so_luong_danh_gia,diem_danh_gia,tien_nghi
https://mytour.vn/khach-san/1080-khach-san-dai-nam-boutique.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5qh%252fdgs1cqewa36hyiyx4joiasjjo3myr%252bikhjh8hbzzzawb0yaglrmoqkgamq2ggs%253d,khách sạn đại nam boutique,1336000.0,-0.18,1095520.0,"79, trần hưng đạo, quận 1, hồ chí minh, việt nam",90.0,6.8,american express | đưa/đón khách sân bay | đưa/đón khách bến phà | cho thuê xe hơi | lễ tân 24h | trợ giúp đặc biệt | thu đổi ngoại tệ
https://mytour.vn/khach-san/1095659-khach-san-silverland-ben-thanh.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnesg42lat%252blv8gh4fadcpdeb1k6nftqhbvmajtsha8ymnb0rixla9pivz5zamo4ag%253d,khách sạn silverland bến thành,2894667.0,-0.18,2373626.0,"14 - 16, lê lai, quận 1, hồ chí minh, việt nam",109.0,9.4,đưa/đón khách sân bay | phòng gym | lễ tân 24h | giữ hành lý | báo thức | két an toàn | internet miễn phí.
https://mytour.vn/khach-san/1107-khach-san-bat-dat.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5rs1ii4zkx05vhvcle%252fz5bk90srcep4cprk6htzzacgbkhf4fn3f2ee,khách sạn bát đạt,993827.0,-0.29,705617.0,"238-244, trần hưng đạo, quận 5, hồ chí minh, việt nam",96.0,7.0,đưa/đón khách sân bay | lễ tân 24h | giữ hành lý | báo thức | internet miễn phí. | dọn phòng hàng ngày | dịch vụ giặt là
https://mytour.vn/khach-san/1109554-triple-e-hotel-metro-ben-thanh.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5oavib52n7i58axfy%252brnbxfilgkgewaok6q1%252bu5i6lrhhbzh498nigo,triple e hotel metro ben thanh,2085136.0,-0.27,1522149.0,146 đ. ký con,55.0,8.8,xe đưa đón tham quan | lễ tân 24h | thu đổi ngoại tệ | giữ hành lý | bán tour | báo thức | két an toàn
https://mytour.vn/khach-san/1117086-kin-wander-tan-phong-the-moonage.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnesg42lat%252blc1zivst%252f9oehdem26km%252bjgt3x36kb7thpxsjf%252b%252b64ayxjziz6r1%252fvw%253d,"kin wander tan phong, the moonage",1838580.0,-0.56,808975.0,"số 23, lô 3, phường tân phong, số 75, quận 7, hồ chí minh, việt nam",8.0,7.6,
https://mytour.vn/khach-san/113368-la-siesta-premium-sai-gon.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnesg42lat%252blf%252bjtggaf7cvsej%252f%252b7xksjebxafbh%252bjs7rh6bdfkkukfqsmf%252fnymyb0%253d,la siesta premium sai gon,3896667.0,-0.18,3195266.0,"số nhà 182 - 186, lý tự trọng, quận 1, hồ chí minh, việt nam",89.0,9.0,phòng gym | massage | dịch vụ spa | phòng xông hơi khô | spa | dọn phòng hàng ngày | dịch vụ giặt là
https://mytour.vn/khach-san/1140-khach-san-aquari.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5q8xf9jgfh0kzielheqfu9v%252bs8dd1qdeonyblbkro%252fchxbywxonwtki3%252bwk1a3cjsk%253d,khách sạn aquari,1558667.0,-0.18,1278106.0,"9, thi sách, quận 1, hồ chí minh, việt nam",249.0,8.8,american express | đưa/đón khách sân bay | lễ tân 24h | thu đổi ngoại tệ | giữ hành lý | bán tour | báo thức
https://mytour.vn/khach-san/1145-khach-san-emm-saigon.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnesg42lat%252bldrz2cha%252fwi9ccctimxpsc0sojao67a7dlvubfpyfkjgrdc5et99iz4%253d,khách sạn emm saigon,1224667.0,-0.18,1004226.0,"157, pasteur, quận 3, hồ chí minh, việt nam",214.0,9.0,
https://mytour.vn/khach-san/1147606-hato-saigon-hotel-and-rooftop.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5r6fi8edwg4o7wvokrkxwmv4a121iumyotawyw%252fgsfgsremgady7lqacryjk71qbca%253d,hato saigon hotel & rooftop,2981481.0,-0.53,1401296.0,"115 - 117, tôn thất đạm, quận 1, hồ chí minh, việt nam",27.0,9.6,đưa/đón khách sân bay | lễ tân 24h | trợ giúp đặc biệt | thu đổi ngoại tệ | giữ hành lý | bán tour | báo thức
https://mytour.vn/khach-san/1147658-the-noble-swan-hotel-new-world.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5p%252bqpel%252fzuv%252fazd%252bfpb0x4zb1vwgeo0lyo5djzgf%252bkbxntytei2uvblxqntabs2tju%253d,the noble swan hotel new world,1337476.0,-0.28,962982.0,"270 le thanh ton, ben thanh ward, district 1, ho chi minh city",197.0,8.6,đưa/đón khách sân bay | xe đưa đón tham quan | cho thuê xe đạp | cho thuê xe hơi | lễ tân 24h | thu đổi ngoại tệ | giữ hành lý
