Final Price,Max People,Area_m2,price_per_m2,m2_per_person,num_facilities,has_luxury_keyword,is_king,is_queen,is_double,is_single,is_bunk,is_sofa,has_wifi,has_ac,has_breakfast,has_tv,has_pool,has_balcony,has_parking,has_kitchen,has_fridge,room_class
0.180733895,0.571428571,0.411764706,0.065645136,0.079452055,0.441176471,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1
0.136461917,0.857142857,0.191176471,0.089035611,0.023483366,0.470588235,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
0.064103003,0.0,0.308823529,0.029581887,0.356164384,0.823529412,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,2
0.496701922,0.571428571,0.352941176,0.204058465,0.068493151,0.764705882,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1
0.135629972,0.428571429,0.264705882,0.06999611,0.068493151,0.470588235,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,2
0.013875653,0.142857143,0.529411765,0.004189832,0.273972603,0.0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,5
0.051394267,0.285714286,0.352941176,0.021379558,0.123287671,0.617647059,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
0.129759829,0.571428571,0.176470588,0.08941671,0.035616438,0.558823529,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,5
0.093878832,0.428571429,0.323529412,0.041601912,0.082191781,0.588235294,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,5
0.273005413,0.428571429,0.279411765,0.134810777,0.071917808,0.441176471,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1
0.090108771,0.571428571,0.294117647,0.043041084,0.057534247,0.441176471,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1
0.025958653,0.142857143,0.720588235,0.00583084,0.363013699,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
0.077663349,0.571428571,0.176470588,0.05379741,0.035616438,0.441176471,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,3
